full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,blocks_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
David Raya Martín,Arsenal,Goalkeeper,59,100.0,0.0,0.0,0.0,0.09090909090909091,0.0,1.7650000000000001,0.7250000000000001,22,0,1
Gabriel dos Santos Magalhães,Arsenal,Defender,67,100.0,0.07,0.13,1.5454545454545454,0.09090909090909091,0.0,1.7650000000000001,0.7250000000000001,22,0,1
William Saliba,Arsenal,Defender,59,73.1,0.03,0.01,0.5,0.0,0.0,1.7650000000000001,0.7250000000000001,22,0,1
Riccardo Calafiori,Arsenal,Defender,56,86.5,0.23,0.05,0.7368421052631579,0.3157894736842105,0.0,1.7650000000000001,0.7250000000000001,22,0,1
Jurriën Timber,Arsenal,Defender,63,89.1,0.2,0.06,0.9183673469387754,0.2040816326530612,0.0,1.7650000000000001,0.7250000000000001,22,0,1
Bukayo Saka,Arsenal,Midfielder,102,68.8,0.32,0.26,1.3157894736842106,0.0,0.0,1.7650000000000001,0.7250000000000001,22,0,1
Leandro Trossard,Arsenal,Midfielder,69,64.9,0.25,0.11,0.9859154929577465,0.0,0.0,1.7650000000000001,0.7250000000000001,22,0,1
Declan Rice,Arsenal,Midfielder,72,90.3,0.1,0.17,0.8080808080808081,0.0,0.0,1.7650000000000001,0.7250000000000001,22,0,1
Mikel Merino Zazón,Arsenal,Midfielder,57,42.2,0.15,0.08,1.3043478260869565,0.0,0.0,1.7650000000000001,0.7250000000000001,22,0,1
Martín Zubimendi Ibáñez,Arsenal,Midfielder,52,94.6,0.05,0.08,1.25,0.1923076923076923,0.0,1.7650000000000001,0.7250000000000001,22,0,1
Eberechi Eze,Arsenal,Midfielder,73,62.4,0.23,0.12,0.43478260869565216,0.0,0.0,1.7650000000000001,0.7250000000000001,22,0,1
Viktor Gyökeres,Arsenal,Forward,88,80.8,0.51,0.12,0.5617977528089887,0.11235955056179775,0.0,1.7650000000000001,0.7250000000000001,22,0,1
Emiliano Martínez Romero,Aston Villa,Goalkeeper,50,81.8,0.0,0.0,0.0,0.1111111111111111,0.0,1.1095238095238096,1.3619047619047617,22,1,3
Matty Cash,Aston Villa,Defender,48,97.6,0.02,0.06,1.4018691588785048,0.28037383177570097,0.0,1.1095238095238096,1.3619047619047617,22,1,3
Lucas Digne,Aston Villa,Defender,45,82.6,0.04,0.1,0.32967032967032966,0.21978021978021978,0.0,1.1095238095238096,1.3619047619047617,22,1,3
Ezri Konsa Ngoyo,Aston Villa,Defender,44,88.4,0.0,0.0,1.5463917525773196,0.0,0.10309278350515465,1.1095238095238096,1.3619047619047617,22,1,3
Tyrone Mings,Aston Villa,Defender,43,50.3,0.05,0.02,1.0909090909090908,0.0,0.0,1.1095238095238096,1.3619047619047617,22,1,3
Pau Torres,Aston Villa,Defender,43,60.5,0.02,0.0,1.044776119402985,0.0,0.0,1.1095238095238096,1.3619047619047617,22,1,3
Morgan Rogers,Aston Villa,Midfielder,76,98.6,0.06,0.1,0.6481481481481481,0.18518518518518517,0.0,1.1095238095238096,1.3619047619047617,22,1,3
Emiliano Buendía Stati,Aston Villa,Midfielder,53,43.1,0.2,0.2,2.7659574468085104,0.425531914893617,0.0,1.1095238095238096,1.3619047619047617,22,1,3
John McGinn,Aston Villa,Midfielder,54,84.5,0.1,0.11,1.075268817204301,0.1075268817204301,0.0,1.1095238095238096,1.3619047619047617,22,1,3
Boubacar Kamara,Aston Villa,Midfielder,49,65.2,0.01,0.06,1.25,0.41666666666666663,0.0,1.1095238095238096,1.3619047619047617,22,1,3
Amadou Onana,Aston Villa,Midfielder,48,49.0,0.05,0.0,1.6666666666666665,0.37037037037037035,0.0,1.1095238095238096,1.3619047619047617,22,1,3
Ollie Watkins,Aston Villa,Forward,87,87.5,0.24,0.05,0.625,0.0,0.0,1.1095238095238096,1.3619047619047617,22,1,3
Evann Guessand,Aston Villa,Midfielder,62,42.7,0.08,0.02,1.9148936170212765,0.0,0.0,1.1095238095238096,1.3619047619047617,22,1,3
Kyle Walker,Burnley,Defender,44,100.0,0.01,0.04,1.8181818181818181,0.2727272727272727,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Hjalmar Ekdal,Burnley,Defender,39,53.8,0.03,0.02,1.694915254237288,0.0,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Maxime Estève,Burnley,Defender,39,99.1,0.02,0.03,1.3761467889908257,0.0,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Quilindschy Hartman,Burnley,Defender,40,98.7,0.01,0.12,1.1926605504587156,0.09174311926605504,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Axel Tuanzebe,Burnley,Defender,39,45.5,0.0,0.0,1.0,0.0,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Jaidon Anthony,Burnley,Midfielder,51,89.5,0.22,0.05,1.4285714285714284,0.3061224489795918,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Jacob Bruun Larsen,Burnley,Midfielder,53,42.0,0.05,0.14,0.6521739130434783,0.0,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Josh Cullen,Burnley,Midfielder,50,95.2,0.06,0.08,1.8095238095238095,0.09523809523809523,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Josh Laurent,Burnley,Midfielder,48,56.7,0.02,0.03,1.7741935483870968,0.16129032258064516,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Loum Tchaouna,Burnley,Midfielder,49,44.4,0.08,0.02,0.6122448979591836,0.2040816326530612,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Lyle Foster,Burnley,Forward,49,58.5,0.21,0.1,0.3125,0.3125,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Martin Dúbravka,Burnley,Goalkeeper,40,100.0,0.0,0.0,0.0,0.0,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Lesley Ugochukwu,Burnley,Midfielder,50,59.6,0.14,0.0,1.2121212121212122,0.30303030303030304,0.15151515151515152,0.8380952380952381,1.8380952380952378,22,0,19
Florentino Ibrain Morris Luís,Burnley,Midfielder,50,66.4,0.06,0.03,2.328767123287671,0.136986301369863,0.0,0.8380952380952381,1.8380952380952378,22,0,19
Đorđe Petrović,Bournemouth,Goalkeeper,45,100.0,0.0,0.0,0.0,0.09090909090909091,0.0,1.4619047619047618,1.4380952380952383,22,0,15
Marcos Senesi Barón,Bournemouth,Defender,48,98.7,0.02,0.03,1.7431192660550459,0.27522935779816515,0.0,1.4619047619047618,1.4380952380952383,22,0,15
Adrien Truffert,Bournemouth,Defender,45,97.2,0.02,0.07,1.4953271028037385,0.1869158878504673,0.0,1.4619047619047618,1.4380952380952383,22,0,15
Justin Kluivert,Bournemouth,Midfielder,70,40.2,0.1,0.09,1.1363636363636362,0.45454545454545453,0.0,1.4619047619047618,1.4380952380952383,22,0,15
Antoine Semenyo,Bournemouth,Midfielder,76,99.9,0.42,0.05,2.0,0.18181818181818182,0.0,1.4619047619047618,1.4380952380952383,22,0,15
Marcus Tavernier,Bournemouth,Midfielder,55,86.5,0.14,0.17,0.9473684210526315,0.0,0.0,1.4619047619047618,1.4380952380952383,22,0,15
Tyler Adams,Bournemouth,Midfielder,50,96.2,0.04,0.01,1.6037735849056605,0.37735849056603776,0.0,1.4619047619047618,1.4380952380952383,22,0,15
David Brooks,Bournemouth,Midfielder,50,55.7,0.17,0.25,0.9836065573770493,0.49180327868852464,0.0,1.4619047619047618,1.4380952380952383,22,0,15
Alex Scott,Bournemouth,Midfielder,50,73.5,0.07,0.06,0.7407407407407408,0.1234567901234568,0.0,1.4619047619047618,1.4380952380952383,22,0,15
Francisco Evanilson de Lima Barbosa,Bournemouth,Forward,70,72.8,0.19,0.1,0.5,0.125,0.0,1.4619047619047618,1.4380952380952383,22,0,15
Bafodé Diakité,Bournemouth,Defender,43,72.7,0.0,0.02,1.0,0.125,0.0,1.4619047619047618,1.4380952380952383,22,0,15
Álex Jiménez Sánchez,Bournemouth,Defender,45,41.6,0.02,0.02,1.0869565217391306,0.8695652173913044,0.0,1.4619047619047618,1.4380952380952383,22,0,15
Dango Ouattara,Brentford,Midfielder,58,64.7,0.36,0.1,1.971830985915493,0.28169014084507044,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Caoimhín Kelleher,Brentford,Goalkeeper,45,100.0,0.0,0.0,0.0,0.09090909090909091,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Nathan Collins,Brentford,Defender,49,100.0,0.03,0.08,1.6363636363636365,0.36363636363636365,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Keane Lewis-Potter,Brentford,Defender,49,45.5,0.03,0.12,0.2,0.2,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Michael Kayode,Brentford,Defender,45,96.2,0.01,0.14,0.8490566037735849,0.09433962264150944,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Sepp van den Berg,Brentford,Defender,45,100.0,0.13,0.01,1.0,0.0,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Kevin Schade,Brentford,Midfielder,71,92.9,0.3,0.11,0.5882352941176471,0.3921568627450981,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Mikkel Damsgaard,Brentford,Midfielder,58,72.3,0.07,0.21,2.125,0.0,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Jordan Henderson,Brentford,Midfielder,50,83.8,0.01,0.08,0.8695652173913044,0.32608695652173914,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Gustavo Nunes Fernandes Gomes,Brentford,Midfielder,49,84.3,0.04,0.02,1.3978494623655913,0.3225806451612903,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Yehor Yarmoliuk,Brentford,Midfielder,50,87.8,0.03,0.04,2.3711340206185567,0.10309278350515465,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Igor Thiago Nascimento Rodrigues,Brentford,Forward,70,93.1,0.55,0.11,0.7843137254901962,0.29411764705882354,0.0,1.4619047619047616,1.2523809523809524,22,0,7
Bart Verbruggen,Brighton,Goalkeeper,45,100.0,0.0,0.01,0.0,0.0,0.0,1.4999999999999998,1.3095238095238093,22,1,10
Maxim De Cuyper,Brighton,Defender,43,41.9,0.16,0.08,1.0869565217391306,0.2173913043478261,0.0,1.4999999999999998,1.3095238095238093,22,1,10
Lewis Dunk,Brighton,Defender,45,100.0,0.05,0.0,0.6363636363636364,0.2727272727272727,0.0,1.4999999999999998,1.3095238095238093,22,1,10
Ferdi Kadıoğlu,Brighton,Defender,44,74.4,0.03,0.05,0.7317073170731708,0.3658536585365854,0.0,1.4999999999999998,1.3095238095238093,22,1,10
Jan Paul van Hecke,Brighton,Defender,45,100.0,0.06,0.01,1.9090909090909092,0.2727272727272727,0.0,1.4999999999999998,1.3095238095238093,22,1,10
Mitoma Kaoru,Brighton,Midfielder,61,51.3,0.13,0.19,0.8928571428571429,0.17857142857142858,0.0,1.4999999999999998,1.3095238095238093,22,1,10
Georginio Rutter,Brighton,Midfielder,56,68.5,0.05,0.24,1.0666666666666667,0.26666666666666666,0.0,1.4999999999999998,1.3095238095238093,22,1,10
Yankuba Minteh,Brighton,Midfielder,59,95.7,0.2,0.26,1.2380952380952381,0.0,0.0,1.4999999999999998,1.3095238095238093,22,1,10
Yasin Ayari,Brighton,Midfielder,48,88.1,0.1,0.03,0.5154639175257733,0.0,0.0,1.4999999999999998,1.3095238095238093,22,1,10
Carlos Baleba,Brighton,Midfielder,46,65.2,0.02,0.01,0.5555555555555556,0.5555555555555556,0.0,1.4999999999999998,1.3095238095238093,22,1,10
