full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
David Raya Martín,Arsenal,Goalkeeper,59,100.0,0.0,0.0,0.04,0.0,1.99,0.81,24.0,0.0,1.0
Gabriel dos Santos Magalhães,Arsenal,Defender,69,94.58,0.19,0.11,0.06,0.0,1.99,0.81,24.0,0.0,1.0
William Saliba,Arsenal,Defender,60,89.42,0.03,0.02,0.0,0.0,1.99,0.81,24.0,0.0,1.0
Riccardo Calafiori,Arsenal,Defender,56,90.14,0.16,0.03,0.35,0.0,1.99,0.81,24.0,0.0,1.0
Jurriën Timber,Arsenal,Defender,63,92.58,0.15,0.07,0.15,0.0,1.99,0.81,24.0,0.0,1.0
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,1.99,0.81,24.0,0.0,1.0
Bukayo Saka,Arsenal,Midfielder,100,82.17,0.38,0.34,0.06,0.0,1.99,0.81,24.0,0.0,1.0
Martin Ødegaard,Arsenal,Midfielder,78,64.18,0.1,0.27,0.0,0.0,1.99,0.81,24.0,0.0,1.0
Leandro Trossard,Arsenal,Midfielder,68,74.21,0.36,0.19,0.07,0.0,1.99,0.81,24.0,0.0,1.0
Declan Rice,Arsenal,Midfielder,74,95.1,0.17,0.23,0.1,0.0,1.99,0.81,24.0,0.0,1.0
Martín Zubimendi Ibáñez,Arsenal,Midfielder,52,93.48,0.08,0.04,0.19,0.0,1.99,0.81,24.0,0.0,1.0
Eberechi Eze,Arsenal,Midfielder,73,66.42,0.17,0.17,0.08,0.0,1.99,0.81,24.0,0.0,1.0
Viktor Gyökeres,Arsenal,Forward,87,74.44,0.44,0.09,0.19,0.0,1.99,0.81,24.0,0.0,1.0
Piero Hincapié,Arsenal,Defender,51,81.28,0.0,0.04,0.19,0.0,1.99,0.81,24.0,0.0,1.0
Emiliano Martínez Romero,Aston Villa,Goalkeeper,50,97.49,0.0,0.0,0.05,0.0,1.39,1.57,24.0,1.0,3.0
Marco Bizot,Aston Villa,Goalkeeper,42,89.56,0.0,0.0,0.22,0.0,1.39,1.57,24.0,1.0,3.0
Matty Cash,Aston Villa,Defender,48,99.14,0.04,0.11,0.23,0.0,1.39,1.57,24.0,1.0,3.0
Lucas Digne,Aston Villa,Defender,45,62.22,0.04,0.14,0.22,0.0,1.39,1.57,24.0,1.0,3.0
Ezri Konsa Ngoyo,Aston Villa,Defender,44,98.79,0.02,0.03,0.0,0.05,1.39,1.57,24.0,1.0,3.0
Tyrone Mings,Aston Villa,Defender,43,70.0,0.05,0.03,0.0,0.0,1.39,1.57,24.0,1.0,3.0
Pau Torres,Aston Villa,Defender,43,89.29,0.05,0.0,0.0,0.0,1.39,1.57,24.0,1.0,3.0
Morgan Rogers,Aston Villa,Midfielder,77,99.52,0.17,0.2,0.17,0.0,1.39,1.57,24.0,1.0,3.0
Youri Tielemans,Aston Villa,Midfielder,59,85.1,0.11,0.18,0.0,0.0,1.39,1.57,24.0,1.0,3.0
John McGinn,Aston Villa,Midfielder,54,83.99,0.13,0.11,0.16,0.0,1.39,1.57,24.0,1.0,3.0
Boubacar Kamara,Aston Villa,Midfielder,49,88.52,0.07,0.05,0.31,0.0,1.39,1.57,24.0,1.0,3.0
Amadou Onana,Aston Villa,Midfielder,48,74.74,0.07,0.03,0.18,0.0,1.39,1.57,24.0,1.0,3.0
Ollie Watkins,Aston Villa,Forward,88,85.99,0.54,0.07,0.05,0.0,1.39,1.57,24.0,1.0,3.0
Kyle Walker,Burnley,Defender,44,99.44,0.0,0.06,0.32,0.0,0.96,2.24,24.0,0.0,19.0
Hjalmar Ekdal,Burnley,Defender,39,87.78,0.04,0.01,0.0,0.0,0.96,2.24,24.0,0.0,19.0
Maxime Estève,Burnley,Defender,39,94.83,0.01,0.04,0.0,0.0,0.96,2.24,24.0,0.0,19.0
Quilindschy Hartman,Burnley,Defender,40,99.7,0.01,0.12,0.07,0.0,0.96,2.24,24.0,0.0,19.0
Bashir Humphreys,Burnley,Defender,39,83.65,0.03,0.0,0.34,0.0,0.96,2.24,24.0,0.0,19.0
Lucas Pires Silva,Burnley,Defender,38,83.46,0.05,0.03,0.0,0.13,0.96,2.24,24.0,0.0,19.0
Axel Tuanzebe,Burnley,Defender,39,98.78,0.06,0.0,0.1,0.0,0.96,2.24,24.0,0.0,19.0
Jaidon Anthony,Burnley,Midfielder,51,73.84,0.19,0.09,0.18,0.0,0.96,2.24,24.0,0.0,19.0
Josh Cullen,Burnley,Midfielder,50,94.63,0.06,0.11,0.12,0.0,0.96,2.24,24.0,0.0,19.0
Lyle Foster,Burnley,Forward,49,65.21,0.25,0.08,0.29,0.0,0.96,2.24,24.0,0.0,19.0
Martin Dúbravka,Burnley,Goalkeeper,40,100.0,0.0,0.0,0.0,0.0,0.96,2.24,24.0,0.0,19.0
James Ward-Prowse,Burnley,Midfielder,56,92.67,0.02,0.31,0.0,0.0,0.96,2.24,24.0,0.0,19.0
Lesley Ugochukwu,Burnley,Midfielder,50,75.4,0.14,0.02,0.0,0.06,0.96,2.24,24.0,0.0,19.0
Florentino Ibrain Morris Luís,Burnley,Midfielder,50,87.31,0.06,0.03,0.18,0.0,0.96,2.24,24.0,0.0,19.0
Đorđe Petrović,Bournemouth,Goalkeeper,45,100.0,0.0,0.0,0.09,0.0,1.75,1.43,24.0,0.0,13.0
Marcos Senesi Barón,Bournemouth,Defender,48,98.38,0.06,0.14,0.32,0.0,1.75,1.43,24.0,0.0,13.0
