full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence,creativity,threat,ict_index
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.03,0.0,0.9,0.03,1.96,0.8,1.45,1.47,14,29.0,0,1,13,0.0,270,0,2.0,34.5,425.8,33.4,0.0,46.0
Gabriel dos Santos Magalhães,Arsenal,Defender,72,96.16,0.14,0.11,0.13,0.0,7.94,1.34,1.96,0.8,1.45,1.47,14,29.0,0,1,22,0.03,270,0,2.0,43.5,665.6,105.4,196.0,96.5
William Saliba,Arsenal,Defender,61,91.62,0.07,0.02,0.05,0.0,5.08,1.18,1.96,0.8,1.45,1.47,14,29.0,0,1,12,0.5,180,0,2.0,13.4,400.0,124.6,72.0,59.7
Riccardo Calafiori,Arsenal,Defender,56,74.81,0.16,0.02,0.32,0.0,4.06,2.03,1.96,0.8,1.45,1.47,14,29.0,0,1,1,0.0,26,0,2.0,6.0,233.2,110.2,230.0,57.4
Jurriën Timber,Arsenal,Defender,63,93.41,0.15,0.1,0.18,0.0,2.98,2.39,1.96,0.8,1.45,1.47,14,29.0,0,1,24,0.41,236,0,2.0,28.5,492.0,401.0,350.0,124.6
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,5.06,2.86,1.96,0.8,1.45,1.47,14,29.0,0,1,0,0.0,0,0,2.0,0.5,111.4,92.7,46.0,25.0
Bukayo Saka,Arsenal,Midfielder,98,82.05,0.38,0.3,0.05,0.0,1.04,1.61,1.96,0.8,1.45,1.47,14,29.0,0,1,16,0.71,270,1,2.0,8.1,529.4,696.1,727.0,195.5
Leandro Trossard,Arsenal,Midfielder,67,72.95,0.31,0.19,0.05,0.0,1.18,1.34,1.96,0.8,1.45,1.47,14,29.0,0,1,4,0.38,160,0,2.0,1.0,407.4,450.0,432.0,129.2
Declan Rice,Arsenal,Midfielder,74,95.9,0.13,0.25,0.07,0.0,3.8,1.95,1.96,0.8,1.45,1.47,14,29.0,0,1,12,0.04,255,0,2.0,30.0,719.6,867.7,265.0,185.4
Martín Zubimendi Ibáñez,Arsenal,Midfielder,52,94.74,0.09,0.03,0.14,0.0,3.67,1.89,1.96,0.8,1.45,1.47,14,29.0,0,1,7,0.11,259,0,2.0,4.4,531.6,319.1,243.0,109.5
Eberechi Eze,Arsenal,Midfielder,72,63.73,0.23,0.15,0.06,0.0,1.15,0.96,1.96,0.8,1.45,1.47,14,29.0,0,1,19,0.93,256,0,2.0,8.1,335.4,223.3,351.0,90.8
Viktor Gyökeres,Arsenal,Forward,88,75.52,0.44,0.1,0.19,0.0,0.87,0.29,1.96,0.8,1.45,1.47,14,29.0,0,1,16,0.35,223,1,2.0,12.1,373.8,210.8,589.0,116.5
Piero Hincapié,Arsenal,Defender,51,82.72,0.02,0.08,0.12,0.0,6.13,2.31,1.96,0.8,1.45,1.47,14,29.0,0,1,13,0.02,270,0,2.0,0.8,359.0,157.5,53.0,56.8
Emiliano Martínez Romero,Aston Villa,Goalkeeper,51,98.09,0.0,0.0,0.08,0.0,1.02,0.0,1.35,1.55,2.12,1.48,5,29.0,1,4,5,0.0,270,0,4.0,4.4,571.0,13.2,0.0,58.4
Marco Bizot,Aston Villa,Goalkeeper,42,89.56,0.0,0.0,0.22,0.0,1.33,0.0,1.35,1.55,2.12,1.48,5,29.0,1,4,0,0.0,0,0,4.0,0.4,92.8,0.0,0.0,9.3
Matty Cash,Aston Villa,Defender,48,97.78,0.04,0.11,0.27,0.0,3.9,1.84,1.35,1.55,2.12,1.48,5,29.0,1,4,1,0.02,221,0,4.0,9.5,533.0,413.7,188.0,113.5
Lucas Digne,Aston Villa,Defender,45,64.44,0.04,0.12,0.19,0.0,3.46,1.7,1.35,1.55,2.12,1.48,5,29.0,1,4,2,0.0,69,0,4.0,1.5,279.6,308.9,108.0,69.5
Ezri Konsa Ngoyo,Aston Villa,Defender,44,99.05,0.03,0.02,0.0,0.04,5.3,0.72,1.35,1.55,2.12,1.48,5,29.0,1,4,8,0.13,270,0,4.0,8.0,499.6,87.7,104.0,69.6
Tyrone Mings,Aston Villa,Defender,43,80.0,0.05,0.07,0.0,0.0,6.71,0.41,1.35,1.55,2.12,1.48,5,29.0,1,4,2,0.09,180,0,4.0,0.7,198.6,69.7,55.0,32.4
Pau Torres,Aston Villa,Defender,43,90.62,0.05,0.0,0.0,0.0,5.28,1.25,1.35,1.55,2.12,1.48,5,29.0,1,4,1,0.04,90,0,4.0,0.3,251.8,37.8,55.0,34.7
Morgan Rogers,Aston Villa,Midfielder,75,99.62,0.17,0.19,0.21,0.0,1.43,1.04,1.35,1.55,2.12,1.48,5,29.0,1,4,5,0.41,270,0,4.0,26.2,592.6,527.6,710.0,182.9
Youri Tielemans,Aston Villa,Midfielder,59,85.1,0.11,0.18,0.0,0.0,2.29,2.64,1.35,1.55,2.12,1.48,5,29.0,1,4,0,0.0,0,0,4.0,0.6,317.2,401.3,147.0,86.6
John McGinn,Aston Villa,Midfielder,53,83.99,0.13,0.11,0.16,0.0,1.64,1.53,1.35,1.55,2.12,1.48,5,29.0,1,4,0,0.0,0,0,4.0,0.5,308.2,385.2,193.0,88.8
Boubacar Kamara,Aston Villa,Midfielder,49,88.52,0.07,0.05,0.31,0.0,2.94,2.43,1.35,1.55,2.12,1.48,5,29.0,1,4,0,0.0,0,0,4.0,0.2,325.0,241.3,75.0,64.2
Amadou Onana,Aston Villa,Midfielder,48,78.83,0.11,0.02,0.13,0.0,5.36,2.29,1.35,1.55,2.12,1.48,5,29.0,1,4,6,0.57,240,0,4.0,0.7,326.8,86.0,125.0,53.7
Ollie Watkins,Aston Villa,Forward,85,87.46,0.47,0.06,0.08,0.0,0.67,0.76,1.35,1.55,2.12,1.48,5,29.0,1,4,5,0.53,245,0,4.0,7.9,387.6,226.6,778.0,138.6
Kyle Walker,Burnley,Defender,44,97.82,0.0,0.05,0.3,0.0,4.67,1.52,0.94,2.17,1.3,1.51,8,29.0,0,19,4,0.0,135,0,3.0,1.1,391.4,162.8,22.0,57.9
Hjalmar Ekdal,Burnley,Defender,38,87.78,0.04,0.01,0.0,0.0,8.63,1.45,0.94,2.17,1.3,1.51,8,29.0,0,19,0,0.0,0,0,3.0,0.8,273.8,43.1,78.0,39.5
Maxime Estève,Burnley,Defender,39,96.03,0.02,0.03,0.0,0.0,8.6,1.21,0.94,2.17,1.3,1.51,8,29.0,0,19,3,0.25,270,0,3.0,7.8,540.6,89.0,84.0,71.5
Quilindschy Hartman,Burnley,Defender,40,99.7,0.01,0.12,0.07,0.0,4.91,2.09,0.94,2.17,1.3,1.51,8,29.0,0,19,0,0.0,0,0,3.0,0.6,305.4,228.9,57.0,59.2
Bashir Humphreys,Burnley,Defender,39,90.77,0.02,0.06,0.42,0.0,6.46,1.95,0.94,2.17,1.3,1.51,8,29.0,0,19,3,0.0,262,0,3.0,0.1,251.6,86.2,46.0,38.2
Lucas Pires Silva,Burnley,Defender,38,85.56,0.04,0.11,0.0,0.08,4.06,1.99,0.94,2.17,1.3,1.51,8,29.0,0,19,2,0.02,225,0,3.0,0.3,181.0,231.4,60.0,47.1
Axel Tuanzebe,Burnley,Defender,39,94.85,0.05,0.0,0.1,0.0,8.22,1.16,0.94,2.17,1.3,1.51,8,29.0,0,19,0,0.0,0,0,3.0,0.9,225.2,9.8,52.0,28.9
Jaidon Anthony,Burnley,Midfielder,50,78.25,0.17,0.1,0.18,0.0,1.77,1.54,0.94,2.17,1.3,1.51,8,29.0,0,19,16,0.51,263,0,3.0,1.9,453.4,386.4,416.0,125.5
Josh Cullen,Burnley,Midfielder,49,94.63,0.06,0.11,0.12,0.0,4.04,1.9,0.94,2.17,1.3,1.51,8,29.0,0,19,0,0.0,0,0,3.0,0.8,342.0,218.1,98.0,66.0
Lyle Foster,Burnley,Forward,49,61.9,0.25,0.07,0.31,0.0,1.79,0.94,0.94,2.17,1.3,1.51,8,29.0,0,19,2,0.71,135,0,3.0,0.8,187.6,129.2,206.0,51.7
Martin Dúbravka,Burnley,Goalkeeper,40,100.0,0.0,0.0,0.03,0.0,1.83,0.03,0.94,2.17,1.3,1.51,8,29.0,0,19,4,0.0,270,0,3.0,32.2,808.4,0.0,0.0,81.0
James Ward-Prowse,Burnley,Midfielder,56,69.01,0.02,0.31,0.0,0.0,2.41,0.96,0.94,2.17,1.3,1.51,8,29.0,0,19,7,0.0,140,0,3.0,0.2,101.2,228.2,6.0,33.5
Lesley Ugochukwu,Burnley,Midfielder,50,77.1,0.11,0.02,0.05,0.05,2.47,2.19,0.94,2.17,1.3,1.51,8,29.0,0,19,4,0.13,183,0,3.0,0.1,359.2,145.2,188.0,69.0
Florentino Ibrain Morris Luís,Burnley,Midfielder,50,77.96,0.05,0.02,0.21,0.0,4.8,4.03,0.94,2.17,1.3,1.51,8,29.0,0,19,2,0.0,71,0,3.0,0.0,343.4,173.2,44.0,56.3
Đorđe Petrović,Bournemouth,Goalkeeper,45,100.0,0.0,0.0,0.07,0.0,1.86,0.0,1.71,1.45,1.77,1.47,7,29.0,1,9,18,0.0,270,0,5.0,5.0,656.2,0.0,0.0,65.9
Marcos Senesi Barón,Bournemouth,Defender,50,98.73,0.06,0.12,0.29,0.0,10.35,1.78,1.71,1.45,1.77,1.47,7,29.0,1,9,20,0.07,270,0,5.0,17.4,866.6,296.0,165.0,133.0
Adrien Truffert,Bournemouth,Defender,46,98.89,0.01,0.08,0.1,0.0,5.54,2.73,1.71,1.45,1.77,1.47,7,29.0,1,9,18,0.04,270,0,5.0,2.5,583.0,370.8,94.0,104.8
James Hill,Bournemouth,Defender,42,71.67,0.04,0.07,0.14,0.0,9.61,1.67,1.71,1.45,1.77,1.47,7,29.0,1,9,16,0.16,270,0,5.0,7.4,375.0,84.9,74.0,53.6
Marcus Tavernier,Bournemouth,Midfielder,53,87.73,0.29,0.16,0.18,0.0,2.18,1.34,1.71,1.45,1.77,1.47,7,29.0,1,9,10,1.63,180,0,5.0,1.7,456.4,484.7,420.0,136.3
Tyler Adams,Bournemouth,Midfielder,49,89.32,0.05,0.01,0.44,0.0,4.21,2.55,1.71,1.45,1.77,1.47,7,29.0,1,9,10,0.0,216,0,5.0,0.3,304.2,95.0,105.0,50.7
Lewis Cook,Bournemouth,Midfielder,49,62.15,0.01,0.04,0.11,0.11,5.79,2.59,1.71,1.45,1.77,1.47,7,29.0,1,9,0,0.0,0,0,5.0,0.0,206.0,183.3,12.0,40.4
Alex Scott,Bournemouth,Midfielder,51,84.1,0.12,0.07,0.12,0.0,4.36,1.78,1.71,1.45,1.77,1.47,7,29.0,1,9,11,0.82,270,0,5.0,1.3,421.4,317.8,259.0,99.4
Francisco Evanilson de Lima Barbosa,Bournemouth,Forward,68,85.06,0.4,0.1,0.04,0.0,1.12,0.31,1.71,1.45,1.77,1.47,7,29.0,1,9,10,0.15,197,0,5.0,2.2,295.0,310.4,649.0,125.2
Bafodé Diakité,Bournemouth,Defender,42,78.77,0.0,0.01,0.07,0.0,6.85,1.41,1.71,1.45,1.77,1.47,7,29.0,1,9,0,0.0,0,0,5.0,0.3,267.0,54.3,22.0,34.4
Álex Jiménez Sánchez,Bournemouth,Defender,45,84.09,0.05,0.07,0.38,0.0,3.15,2.52,1.71,1.45,1.77,1.47,7,29.0,1,9,16,0.11,268,0,5.0,0.3,331.0,212.1,169.0,71.2
Dango Ouattara,Brentford,Midfielder,60,79.57,0.33,0.18,0.22,0.0,3.29,0.89,1.77,1.47,1.71,1.45,9,29.0,0,7,10,0.5,247,0,1.0,3.6,345.0,243.0,449.0,103.1
Caoimhín Kelleher,Brentford,Goalkeeper,47,100.0,0.0,0.0,0.04,0.0,1.25,0.04,1.77,1.47,1.71,1.45,9,29.0,0,7,8,0.0,180,0,1.0,12.3,643.6,20.0,0.0,66.4
Hákon Rafn Valdimarsson,Brentford,Goalkeeper,39,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,1.47,1.71,1.45,9,29.0,0,7,1,0.0,90,0,1.0,0.6,13.0,0.0,0.0,1.3
Nathan Collins,Brentford,Defender,49,92.14,0.1,0.08,0.17,0.0,9.08,1.0,1.77,1.47,1.71,1.45,9,29.0,0,7,7,0.09,135,0,1.0,2.7,661.8,116.3,258.0,103.8
Kristoffer Ajer,Brentford,Defender,44,77.83,0.06,0.05,0.11,0.0,7.29,1.96,1.77,1.47,1.71,1.45,9,29.0,0,7,8,0.02,239,0,1.0,0.3,354.4,58.1,161.0,57.5
