full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position
David Raya Martín,Arsenal,Goalkeeper,59,100.0,0.0,0.01,0.04,0.0,0.8,0.04,2.02,0.77,1.03,1.55,9,25.0,1,1
Gabriel dos Santos Magalhães,Arsenal,Defender,71,95.15,0.17,0.09,0.06,0.0,7.59,1.05,2.02,0.77,1.03,1.55,9,25.0,1,1
William Saliba,Arsenal,Defender,61,90.42,0.03,0.02,0.05,0.0,4.99,1.1,2.02,0.77,1.03,1.55,9,25.0,1,1
Riccardo Calafiori,Arsenal,Defender,56,85.31,0.17,0.03,0.33,0.0,4.04,2.02,2.02,0.77,1.03,1.55,9,25.0,1,1
Jurriën Timber,Arsenal,Defender,64,93.19,0.15,0.08,0.18,0.0,2.88,2.43,2.02,0.77,1.03,1.55,9,25.0,1,1
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,5.06,2.86,2.02,0.77,1.03,1.55,9,25.0,1,1
Bukayo Saka,Arsenal,Midfielder,99,82.17,0.38,0.34,0.06,0.0,0.64,1.52,2.02,0.77,1.03,1.55,9,25.0,1,1
Martin Ødegaard,Arsenal,Midfielder,78,62.28,0.09,0.32,0.0,0.0,1.16,1.42,2.02,0.77,1.03,1.55,9,25.0,1,1
Leandro Trossard,Arsenal,Midfielder,68,76.3,0.33,0.2,0.06,0.0,1.21,1.08,2.02,0.77,1.03,1.55,9,25.0,1,1
Declan Rice,Arsenal,Midfielder,75,95.51,0.15,0.24,0.09,0.0,3.9,1.8,2.02,0.77,1.03,1.55,9,25.0,1,1
Martín Zubimendi Ibáñez,Arsenal,Midfielder,52,94.0,0.11,0.04,0.17,0.0,3.76,1.81,2.02,0.77,1.03,1.55,9,25.0,1,1
Kai Havertz,Arsenal,Forward,73,60.37,0.1,0.1,0.0,0.0,2.88,1.15,2.02,0.77,1.03,1.55,9,25.0,1,1
Eberechi Eze,Arsenal,Midfielder,72,61.22,0.17,0.16,0.08,0.0,1.17,1.09,2.02,0.77,1.03,1.55,9,25.0,1,1
Viktor Gyökeres,Arsenal,Forward,87,73.0,0.51,0.08,0.18,0.0,0.97,0.3,2.02,0.77,1.03,1.55,9,25.0,1,1
Piero Hincapié,Arsenal,Defender,51,77.56,0.0,0.04,0.17,0.0,5.95,1.9,2.02,0.77,1.03,1.55,9,25.0,1,1
Emiliano Martínez Romero,Aston Villa,Goalkeeper,50,97.72,0.0,0.0,0.05,0.0,1.02,0.0,1.39,1.53,1.74,1.43,11,25.0,0,3
Marco Bizot,Aston Villa,Goalkeeper,42,89.56,0.0,0.0,0.22,0.0,1.33,0.0,1.39,1.53,1.74,1.43,11,25.0,0,3
Matty Cash,Aston Villa,Defender,49,99.21,0.05,0.1,0.21,0.0,3.84,1.77,1.39,1.53,1.74,1.43,11,25.0,0,3
Lucas Digne,Aston Villa,Defender,45,63.82,0.04,0.13,0.2,0.0,3.58,1.79,1.39,1.53,1.74,1.43,11,25.0,0,3
Ezri Konsa Ngoyo,Aston Villa,Defender,44,98.89,0.03,0.02,0.0,0.04,5.23,0.67,1.39,1.53,1.74,1.43,11,25.0,0,3
Tyrone Mings,Aston Villa,Defender,43,73.33,0.05,0.02,0.0,0.0,7.33,0.3,1.39,1.53,1.74,1.43,11,25.0,0,3
Pau Torres,Aston Villa,Defender,43,90.0,0.05,0.0,0.0,0.0,5.22,1.27,1.39,1.53,1.74,1.43,11,25.0,0,3
Morgan Rogers,Aston Villa,Midfielder,76,99.56,0.17,0.22,0.16,0.0,1.5,1.13,1.39,1.53,1.74,1.43,11,25.0,0,3
Youri Tielemans,Aston Villa,Midfielder,59,85.1,0.11,0.18,0.0,0.0,2.29,2.64,1.39,1.53,1.74,1.43,11,25.0,0,3
John McGinn,Aston Villa,Midfielder,54,83.99,0.13,0.11,0.16,0.0,1.64,1.53,1.39,1.53,1.74,1.43,11,25.0,0,3
Boubacar Kamara,Aston Villa,Midfielder,49,88.52,0.07,0.05,0.31,0.0,2.94,2.43,1.39,1.53,1.74,1.43,11,25.0,0,3
Amadou Onana,Aston Villa,Midfielder,48,76.32,0.06,0.03,0.16,0.0,6.01,2.62,1.39,1.53,1.74,1.43,11,25.0,0,3
Ollie Watkins,Aston Villa,Forward,87,86.53,0.52,0.06,0.05,0.0,0.69,0.74,1.39,1.53,1.74,1.43,11,25.0,0,3
Kyle Walker,Burnley,Defender,44,99.49,0.0,0.05,0.34,0.0,4.66,1.51,0.96,2.19,1.25,1.98,18,25.0,1,19
Hjalmar Ekdal,Burnley,Defender,39,87.78,0.04,0.01,0.0,0.0,8.63,1.45,0.96,2.19,1.25,1.98,18,25.0,1,19
Maxime Estève,Burnley,Defender,39,95.3,0.01,0.03,0.0,0.0,8.77,1.25,0.96,2.19,1.25,1.98,18,25.0,1,19
Quilindschy Hartman,Burnley,Defender,40,99.7,0.01,0.12,0.07,0.0,4.91,2.09,0.96,2.19,1.25,1.98,18,25.0,1,19
Bashir Humphreys,Burnley,Defender,39,87.28,0.02,0.08,0.38,0.0,6.75,2.04,0.96,2.19,1.25,1.98,18,25.0,1,19
Lucas Pires Silva,Burnley,Defender,38,86.46,0.05,0.05,0.0,0.11,4.08,2.3,0.96,2.19,1.25,1.98,18,25.0,1,19
Axel Tuanzebe,Burnley,Defender,39,94.85,0.05,0.0,0.1,0.0,8.22,1.16,0.96,2.19,1.25,1.98,18,25.0,1,19
Jaidon Anthony,Burnley,Midfielder,50,74.81,0.18,0.09,0.22,0.0,1.77,1.49,0.96,2.19,1.25,1.98,18,25.0,1,19
Josh Cullen,Burnley,Midfielder,49,94.63,0.06,0.11,0.12,0.0,4.04,1.9,0.96,2.19,1.25,1.98,18,25.0,1,19
Lyle Foster,Burnley,Forward,49,63.27,0.23,0.07,0.26,0.0,1.62,0.99,0.96,2.19,1.25,1.98,18,25.0,1,19
Martin Dúbravka,Burnley,Goalkeeper,40,100.0,0.0,0.0,0.04,0.0,1.92,0.04,0.96,2.19,1.25,1.98,18,25.0,1,19
