full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence_per_90,creativity_per_90,threat_per_90,ict_per_90,total_minutes
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.03,0.0,0.94,0.03,2.0,0.83,2.03,1.17,2,33.0,0,1,8,0.0,180,0,3.0,31.7,14.63783783783784,0.9054054054054056,0.0,1.5540540540540542,3330.0
Gabriel dos Santos Magalhães,Arsenal,Defender,71,96.45,0.13,0.11,0.12,0.0,7.94,1.32,2.0,0.83,2.03,1.17,2,33.0,0,1,13,0.11,180,0,3.0,39.1,26.96727272727273,4.205454545454546,9.752727272727274,4.090909090909091,2750.0
William Saliba,Arsenal,Defender,61,92.26,0.07,0.04,0.04,0.0,5.24,1.25,2.0,0.83,2.03,1.17,2,33.0,0,1,12,0.0,180,0,3.0,13.2,19.02601377199694,6.920428462127009,3.098699311400153,2.902448355011477,2614.0
Riccardo Calafiori,Arsenal,Defender,56,75.4,0.16,0.03,0.3,0.0,3.98,1.93,2.0,0.83,2.03,1.17,2,33.0,0,1,6,0.15,73,0,3.0,5.9,15.008839127872715,9.668238067177372,16.599882144961697,4.13140836770772,1697.0
Jurriën Timber,Arsenal,Defender,62,91.67,0.15,0.09,0.18,0.0,3.01,2.42,2.0,0.83,2.03,1.17,2,33.0,0,1,1,0.0,37,0,3.0,20.7,18.31566068515497,14.777324632952691,12.920065252854812,4.613784665579119,2452.0
Benjamin White,Arsenal,Defender,51,67.22,0.05,0.22,0.0,0.0,5.58,2.79,2.0,0.83,2.03,1.17,2,33.0,0,1,1,0.02,75,0,3.0,0.5,19.931330472103003,17.175965665236053,6.952789699570815,4.416309012875536,699.0
Bukayo Saka,Arsenal,Midfielder,98,82.72,0.37,0.29,0.04,0.0,1.08,1.58,2.0,0.83,2.03,1.17,2,33.0,0,1,3,0.15,90,1,3.0,7.1,25.441839495040576,34.39314697926059,33.597835888187554,9.3570784490532,2218.0
Leandro Trossard,Arsenal,Midfielder,65,71.65,0.3,0.18,0.05,0.0,1.26,1.32,2.0,0.83,2.03,1.17,2,33.0,0,1,1,0.0,36,0,3.0,0.7,,,,,
Declan Rice,Arsenal,Midfielder,72,96.16,0.12,0.26,0.07,0.0,3.61,1.99,2.0,0.83,2.03,1.17,2,33.0,0,1,7,0.16,180,0,3.0,22.9,24.069835111542197,29.895247332686715,8.671193016488845,6.267701260911736,3093.0
Martín Zubimendi Ibáñez,Arsenal,Midfielder,50,94.27,0.09,0.03,0.13,0.0,3.64,1.92,2.0,0.83,2.03,1.17,2,33.0,0,1,5,0.1,148,0,3.0,3.0,18.150451354062188,11.58776328986961,8.15446339017051,3.7973921765295886,2991.0
