full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence,creativity,threat,ict_index
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.03,0.0,0.97,0.03,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,2,0.0,180,0,6.0,37.0,481.2,33.4,0.0,51.5
Gabriel dos Santos Magalhães,Arsenal,Defender,71,96.58,0.13,0.1,0.15,0.0,7.87,1.3,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,4,0.1,180,0,6.0,45.4,725.4,109.2,225.0,105.8
William Saliba,Arsenal,Defender,61,92.55,0.06,0.04,0.04,0.0,5.35,1.28,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,4,0.0,180,0,6.0,15.0,474.0,169.7,76.0,71.9
Riccardo Calafiori,Arsenal,Defender,56,75.4,0.16,0.03,0.3,0.0,3.98,1.93,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,0,0.0,0,0,6.0,5.9,244.4,127.9,249.0,62.2
Jurriën Timber,Arsenal,Defender,61,91.67,0.15,0.09,0.18,0.0,3.01,2.42,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,0,0.0,0,0,6.0,19.3,499.0,402.6,352.0,125.7
Benjamin White,Arsenal,Defender,51,61.6,0.05,0.21,0.0,0.0,5.58,2.7,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,2,0.02,91,0,6.0,0.5,133.2,108.4,48.0,29.0
Bukayo Saka,Arsenal,Midfielder,98,82.72,0.37,0.29,0.04,0.0,1.08,1.58,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,0,0.0,0,1,6.0,6.9,538.8,725.9,762.0,202.9
Martin Ødegaard,Arsenal,Midfielder,78,60.69,0.09,0.37,0.0,0.0,1.01,1.32,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,2,0.0,90,0,6.0,1.7,267.8,487.5,146.0,90.0
Leandro Trossard,Arsenal,Midfielder,65,69.68,0.3,0.2,0.05,0.0,1.35,1.35,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,2,0.0,52,0,6.0,0.8,424.6,478.5,440.0,134.6
Declan Rice,Arsenal,Midfielder,72,96.28,0.12,0.25,0.06,0.0,3.59,2.02,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,6,0.1,180,0,6.0,25.4,768.0,973.5,286.0,202.9
Martín Zubimendi Ibáñez,Arsenal,Midfielder,50,94.28,0.09,0.03,0.13,0.0,3.72,1.99,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,6,0.0,158,0,6.0,3.1,564.0,341.1,262.0,116.9
Eberechi Eze,Arsenal,Midfielder,72,64.8,0.22,0.14,0.06,0.0,1.18,1.01,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,3,0.08,109,0,6.0,8.4,345.2,262.4,374.0,97.9
Viktor Gyökeres,Arsenal,Forward,88,72.47,0.51,0.09,0.22,0.0,0.91,0.27,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,6,1.02,96,1,6.0,12.8,440.0,214.4,658.0,130.4
Piero Hincapié,Arsenal,Defender,51,80.3,0.02,0.12,0.11,0.0,6.12,2.38,2.01,0.88,1.59,1.53,14.0,34.0,1.0,2.0,1,0.0,90,0,6.0,0.9,405.0,169.2,59.0,63.1
Emiliano Martínez Romero,Aston Villa,Goalkeeper,51,98.29,0.0,0.0,0.07,0.0,0.95,0.0,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,2,0.0,90,0,3.0,4.9,645.4,13.2,0.0,65.8
Marco Bizot,Aston Villa,Goalkeeper,42,91.3,0.0,0.0,0.18,0.0,1.27,0.0,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,3,0.0,90,0,3.0,0.4,118.2,0.0,0.0,11.8
Matty Cash,Aston Villa,Defender,47,98.0,0.04,0.1,0.27,0.0,3.74,1.82,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,2,0.04,180,0,3.0,8.5,558.0,427.6,213.0,119.9
Lucas Digne,Aston Villa,Defender,45,66.03,0.03,0.15,0.16,0.0,3.77,1.8,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,5,0.0,97,0,3.0,1.7,366.2,422.7,125.0,91.3
Ezri Konsa Ngoyo,Aston Villa,Defender,44,99.14,0.03,0.02,0.0,0.03,5.21,0.68,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,1,0.0,90,0,3.0,7.7,553.0,104.8,122.0,78.5
Tyrone Mings,Aston Villa,Defender,43,82.86,0.09,0.06,0.0,0.0,7.02,0.34,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,1,0.07,90,0,3.0,0.7,231.0,72.5,96.0,40.0
Pau Torres,Aston Villa,Defender,43,91.67,0.04,0.0,0.0,0.0,4.94,1.22,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,2,0.0,90,0,3.0,0.3,282.2,42.1,55.0,38.2
Morgan Rogers,Aston Villa,Midfielder,74,99.02,0.21,0.2,0.18,0.0,1.39,1.05,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,14,0.68,167,0,3.0,26.4,665.8,628.0,804.0,209.7
Youri Tielemans,Aston Villa,Midfielder,59,83.44,0.1,0.17,0.0,0.0,2.52,2.76,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,4,0.02,180,0,3.0,0.7,366.0,453.3,152.0,97.2
John McGinn,Aston Villa,Midfielder,53,84.06,0.12,0.18,0.18,0.0,1.48,1.29,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,6,0.1,169,0,3.0,0.8,378.8,495.3,235.0,110.7
Boubacar Kamara,Aston Villa,Midfielder,49,88.52,0.07,0.05,0.31,0.0,2.94,2.43,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,0,0.0,0,0,3.0,0.2,325.0,241.3,75.0,64.2
Amadou Onana,Aston Villa,Midfielder,48,82.36,0.14,0.03,0.15,0.0,5.07,2.43,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,4,0.3,180,0,3.0,0.7,409.6,151.1,178.0,73.9
Ollie Watkins,Aston Villa,Forward,87,87.74,0.52,0.1,0.11,0.0,0.73,0.77,1.45,1.51,1.31,1.61,12.0,34.0,0.0,4.0,18,1.48,165,0,3.0,21.6,518.2,289.5,941.0,174.3
Kyle Walker,Burnley,Defender,44,95.17,0.0,0.05,0.3,0.0,4.74,1.55,0.98,2.2,,,,,,,2,0.0,188,0,,1.1,453.0,200.6,24.0,68.0
Hjalmar Ekdal,Burnley,Defender,38,89.81,0.04,0.01,0.0,0.0,8.57,1.3,0.98,2.2,,,,,,,5,0.04,270,0,,0.7,341.8,44.5,88.0,47.5
Maxime Estève,Burnley,Defender,39,96.13,0.02,0.02,0.03,0.0,8.79,1.31,0.98,2.2,,,,,,,8,0.06,270,0,,6.7,671.6,91.6,95.0,86.0
Quilindschy Hartman,Burnley,Defender,40,98.72,0.02,0.14,0.05,0.0,4.91,2.56,0.98,2.2,,,,,,,9,0.11,261,0,,0.6,409.6,285.7,83.0,77.9
Bashir Humphreys,Burnley,Defender,39,92.29,0.03,0.06,0.32,0.0,6.49,1.67,0.98,2.2,,,,,,,4,0.05,162,0,,0.1,338.8,130.3,80.0,54.7
Lucas Pires Silva,Burnley,Defender,38,76.18,0.04,0.11,0.0,0.08,4.14,1.95,0.98,2.2,,,,,,,1,0.0,8,0,,0.3,183.2,231.8,62.0,47.5
Axel Tuanzebe,Burnley,Defender,39,94.85,0.05,0.0,0.1,0.0,8.22,1.16,0.98,2.2,,,,,,,0,0.0,0,0,,0.9,225.2,9.8,52.0,28.9
Jaidon Anthony,Burnley,Midfielder,50,81.38,0.18,0.15,0.15,0.0,1.75,1.45,0.98,2.2,,,,,,,6,0.41,258,0,,1.8,519.6,496.6,548.0,156.4
Josh Cullen,Burnley,Midfielder,49,94.63,0.06,0.11,0.12,0.0,4.04,1.9,0.98,2.2,,,,,,,0,0.0,0,0,,0.8,342.0,218.1,98.0,66.0
Josh Laurent,Burnley,Midfielder,48,60.74,0.06,0.04,0.38,0.05,3.88,2.37,0.98,2.2,,,,,,,3,0.0,93,0,,0.0,287.2,183.8,108.0,57.2
Zian Flemming,Burnley,Forward,53,64.71,0.52,0.04,0.19,0.0,2.63,0.69,0.98,2.2,,,,,,,11,0.83,254,1,,0.3,387.6,133.2,470.0,98.1
Lyle Foster,Burnley,Forward,49,60.31,0.24,0.08,0.27,0.0,1.81,1.07,0.98,2.2,,,,,,,2,0.17,44,0,,0.8,219.0,147.0,256.0,61.5
Martin Dúbravka,Burnley,Goalkeeper,40,100.0,0.0,0.0,0.03,0.0,1.74,0.03,0.98,2.2,,,,,,,6,0.0,270,0,,25.7,940.8,0.0,0.0,94.3
James Ward-Prowse,Burnley,Midfielder,56,79.37,0.01,0.28,0.09,0.0,3.79,1.35,0.98,2.2,,,,,,,10,0.07,270,0,,0.2,194.4,359.3,15.0,56.8
Lesley Ugochukwu,Burnley,Midfielder,50,75.24,0.1,0.02,0.04,0.04,2.39,2.01,0.98,2.2,,,,,,,4,0.05,141,0,,0.1,376.8,150.2,194.0,71.9
Florentino Ibrain Morris Luís,Burnley,Midfielder,50,76.63,0.05,0.02,0.29,0.0,4.64,3.9,0.98,2.2,,,,,,,5,0.03,171,0,,0.0,358.0,195.3,45.0,60.0
Đorđe Petrović,Bournemouth,Goalkeeper,46,100.0,0.0,0.0,0.09,0.0,1.76,0.0,1.78,1.52,,,,,,,4,0.0,270,0,,4.6,748.4,0.0,0.0,75.0
