full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position,points_last_3,xg_last_3,minutes_last_3,total_minutes,is_penalty_taker,opponent_goals_conceded_last_3,ownership_percent,influence_per_90,creativity_per_90,threat_per_90,ict_per_90
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.69,0.42,1.37,1.3,11,4,0,2,12,0.0,180,180.0,0,2.0,38.4,8.7,0.9054054054054056,0.0,0.9
Gabriel dos Santos Magalhães,Arsenal,Defender,80,100.0,0.18,0.0,0.5,0.0,6.0,1.0,1.69,0.42,1.37,1.3,11,4,0,2,13,0.18,180,180.0,0,2.0,25.8,12.4,2.5,3.5,1.8
Myles Lewis-Skelly,Arsenal,Midfielder,55,90.0,0.05,0.03,0.0,0.0,2.81,0.56,1.69,0.42,1.37,1.3,11,4,0,2,6,0.13,160,160.0,0,2.0,0.7,12.15,14.68125,6.75,3.375
Riccardo Calafiori,Arsenal,Defender,57,96.11,0.07,0.54,0.0,0.0,3.18,1.06,1.69,0.42,1.37,1.3,11,4,0,2,20,0.15,170,170.0,0,2.0,45.5,24.988235294117647,12.758823529411766,6.882352941176471,4.447058823529412
Benjamin White,Arsenal,Defender,55,100.0,0.06,0.11,0.0,0.0,3.5,1.0,1.69,0.42,1.37,1.3,11,4,0,2,18,0.18,180,180.0,0,2.0,7.5,24.8,23.55,6.5,5.5
Cristhian Mosquera,Arsenal,Defender,55,94.44,0.0,0.0,0.0,0.0,5.36,0.0,1.69,0.42,1.37,1.3,11,4,0,2,12,0.0,168,168.0,0,2.0,4.5,13.178571428571429,1.0714285714285714,,1.4464285714285714
Bukayo Saka,Arsenal,Midfielder,95,88.89,0.99,0.03,0.0,0.0,2.87,1.72,1.69,0.42,1.37,1.3,11,4,0,2,20,1.27,157,157.0,1,2.0,10.9,48.038216560509554,19.547770700636942,44.14012738853503,11.178343949044585
Declan Rice,Arsenal,Midfielder,75,86.67,0.02,0.05,0.0,0.0,2.98,1.79,1.69,0.42,1.37,1.3,11,4,0,2,8,0.07,151,151.0,0,2.0,14.3,18.357615894039736,20.26490066225166,1.1920529801324504,3.9933774834437092
Martin Ødegaard,Arsenal,Midfielder,66,83.33,0.19,0.17,0.0,0.0,1.86,3.1,1.69,0.42,1.37,1.3,11,4,0,2,14,0.29,145,145.0,0,2.0,11.2,35.62758620689655,29.979310344827585,22.344827586206897,8.813793103448276
Kai Havertz,Arsenal,Forward,75,100.0,0.07,0.02,0.0,0.0,1.0,0.0,1.69,0.42,1.37,1.3,11,4,0,2,8,0.28,180,180.0,0,2.0,6.8,19.8,8.3,24.0,5.2
Christos Tzolis,Arsenal,Midfielder,65,69.44,0.17,0.17,0.72,0.0,2.25,0.75,1.69,0.42,1.37,1.3,11,4,0,2,6,0.19,120,120.0,0,2.0,19.4,12.75,38.7,25.5,7.7250000000000005
