full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,blocks_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
David Raya Martín,Arsenal,Goalkeeper,59,100.0,0.0,0.0,0.0,0.09090909090909091,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
Gabriel dos Santos Magalhães,Arsenal,Defender,66,100.0,0.07,0.13,1.5454545454545454,0.09090909090909091,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
William Saliba,Arsenal,Defender,60,73.1,0.03,0.01,0.5,0.0,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
Riccardo Calafiori,Arsenal,Defender,58,86.5,0.23,0.05,0.7368421052631579,0.3157894736842105,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
Jurriën Timber,Arsenal,Defender,61,89.1,0.2,0.06,0.9183673469387754,0.2040816326530612,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
Bukayo Saka,Arsenal,Midfielder,101,68.8,0.32,0.26,1.3157894736842106,0.0,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
Leandro Trossard,Arsenal,Midfielder,69,64.9,0.25,0.11,0.9859154929577465,0.0,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
Declan Rice,Arsenal,Midfielder,69,90.3,0.1,0.17,0.8080808080808081,0.0,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
Mikel Merino Zazón,Arsenal,Midfielder,59,42.2,0.15,0.08,1.3043478260869565,0.0,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
Martín Zubimendi Ibáñez,Arsenal,Midfielder,54,94.6,0.05,0.08,1.25,0.1923076923076923,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
Eberechi Eze,Arsenal,Midfielder,76,62.4,0.23,0.12,0.43478260869565216,0.0,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
Viktor Gyökeres,Arsenal,Forward,89,80.8,0.51,0.12,0.5617977528089887,0.11235955056179775,0.0,1.718181818181818,0.5454545454545454,12,1.0,1.0
Emiliano Martínez Romero,Aston Villa,Goalkeeper,50,81.8,0.0,0.0,0.0,0.1111111111111111,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Matty Cash,Aston Villa,Defender,46,97.6,0.02,0.06,1.4018691588785048,0.28037383177570097,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Lucas Digne,Aston Villa,Defender,45,82.6,0.04,0.1,0.32967032967032966,0.21978021978021978,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Ezri Konsa Ngoyo,Aston Villa,Defender,44,88.4,0.0,0.0,1.5463917525773196,0.0,0.10309278350515465,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Tyrone Mings,Aston Villa,Defender,44,50.3,0.05,0.02,1.0909090909090908,0.0,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Pau Torres,Aston Villa,Defender,43,60.5,0.02,0.0,1.044776119402985,0.0,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Morgan Rogers,Aston Villa,Midfielder,68,98.6,0.06,0.1,0.6481481481481481,0.18518518518518517,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Emiliano Buendía Stati,Aston Villa,Midfielder,53,43.1,0.2,0.2,2.7659574468085104,0.425531914893617,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
John McGinn,Aston Villa,Midfielder,54,84.5,0.1,0.11,1.075268817204301,0.1075268817204301,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Boubacar Kamara,Aston Villa,Midfielder,49,65.2,0.01,0.06,1.25,0.41666666666666663,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Amadou Onana,Aston Villa,Midfielder,48,49.0,0.05,0.0,1.6666666666666665,0.37037037037037035,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Ollie Watkins,Aston Villa,Forward,85,87.5,0.24,0.05,0.625,0.0,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Evann Guessand,Aston Villa,Midfielder,62,42.7,0.08,0.02,1.9148936170212765,0.0,0.0,0.8272727272727273,1.3272727272727272,12,0.0,6.0
Kyle Walker,Burnley,Defender,44,100.0,0.01,0.04,1.8181818181818181,0.2727272727272727,0.0,0.7454545454545456,2.1363636363636362,12,1.0,17.0
Hjalmar Ekdal,Burnley,Defender,40,53.8,0.03,0.02,1.694915254237288,0.0,0.0,0.7454545454545456,2.1363636363636362,12,1.0,17.0
Maxime Estève,Burnley,Defender,39,99.1,0.02,0.03,1.3761467889908257,0.0,0.0,0.7454545454545456,2.1363636363636362,12,1.0,17.0
