full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.01,0.03,0.0,0.9,0.03,2.01,0.79,1.47,1.51,11,29.0,0,1
Gabriel dos Santos Magalhães,Arsenal,Defender,71,95.99,0.14,0.12,0.14,0.0,7.57,1.36,2.01,0.79,1.47,1.51,11,29.0,0,1
William Saliba,Arsenal,Defender,61,91.62,0.07,0.02,0.05,0.0,5.08,1.18,2.01,0.79,1.47,1.51,11,29.0,0,1
Riccardo Calafiori,Arsenal,Defender,56,77.28,0.17,0.02,0.32,0.0,4.08,2.0,2.01,0.79,1.47,1.51,11,29.0,0,1
Jurriën Timber,Arsenal,Defender,63,93.17,0.15,0.09,0.19,0.0,2.75,2.28,2.01,0.79,1.47,1.51,11,29.0,0,1
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,5.06,2.86,2.01,0.79,1.47,1.51,11,29.0,0,1
Bukayo Saka,Arsenal,Midfielder,98,81.33,0.39,0.31,0.05,0.0,0.99,1.64,2.01,0.79,1.47,1.51,11,29.0,0,1
Leandro Trossard,Arsenal,Midfielder,67,74.67,0.3,0.18,0.05,0.0,1.15,1.31,2.01,0.79,1.47,1.51,11,29.0,0,1
Declan Rice,Arsenal,Midfielder,75,95.75,0.13,0.26,0.07,0.0,3.71,1.99,2.01,0.79,1.47,1.51,11,29.0,0,1
Martín Zubimendi Ibáñez,Arsenal,Midfielder,52,94.83,0.1,0.03,0.15,0.0,3.64,1.91,2.01,0.79,1.47,1.51,11,29.0,0,1
Eberechi Eze,Arsenal,Midfielder,72,62.22,0.25,0.17,0.07,0.0,1.16,0.96,2.01,0.79,1.47,1.51,11,29.0,0,1
Viktor Gyökeres,Arsenal,Forward,88,75.76,0.45,0.1,0.2,0.0,0.9,0.3,2.01,0.79,1.47,1.51,11,29.0,0,1
Piero Hincapié,Arsenal,Defender,51,81.81,0.03,0.08,0.13,0.0,5.69,2.26,2.01,0.79,1.47,1.51,11,29.0,0,1
Emiliano Martínez Romero,Aston Villa,Goalkeeper,51,98.01,0.0,0.0,0.09,0.0,0.98,0.0,1.35,1.48,2.08,1.49,6,29.0,1,4
Marco Bizot,Aston Villa,Goalkeeper,42,89.56,0.0,0.0,0.22,0.0,1.33,0.0,1.35,1.48,2.08,1.49,6,29.0,1,4
Matty Cash,Aston Villa,Defender,48,99.19,0.04,0.11,0.23,0.0,3.94,1.87,1.35,1.48,2.08,1.49,6,29.0,1,4
Lucas Digne,Aston Villa,Defender,45,64.44,0.04,0.12,0.19,0.0,3.46,1.7,1.35,1.48,2.08,1.49,6,29.0,1,4
Ezri Konsa Ngoyo,Aston Villa,Defender,44,99.01,0.03,0.02,0.0,0.04,5.31,0.75,1.35,1.48,2.08,1.49,6,29.0,1,4
Tyrone Mings,Aston Villa,Defender,43,78.18,0.06,0.08,0.0,0.0,7.14,0.35,1.35,1.48,2.08,1.49,6,29.0,1,4
Pau Torres,Aston Villa,Defender,43,90.62,0.05,0.0,0.0,0.0,5.28,1.25,1.35,1.48,2.08,1.49,6,29.0,1,4
Morgan Rogers,Aston Villa,Midfielder,76,99.6,0.17,0.2,0.18,0.0,1.44,1.08,1.35,1.48,2.08,1.49,6,29.0,1,4
