full_name,gw_points
David Raya Martín,2
Gabriel dos Santos Magalhães,1
William Saliba,2
Riccardo Calafiori,0
Jurriën Timber,0
Bukayo Saka,7
Leandro Trossard,2
Declan Rice,5
Mikel Merino Zazón,2
Martín Zubimendi Ibáñez,2
Eberechi Eze,0
Viktor Gyökeres,2
Emiliano Martínez Romero,2
Matty Cash,1
Lucas Digne,1
Ezri Konsa Ngoyo,4
Tyrone Mings,0
Pau Torres,0
Morgan Rogers,1
Emiliano Buendía Stati,3
John McGinn,1
Boubacar Kamara,1
Amadou Onana,1
Ollie Watkins,12
Evann Guessand,0
Kyle Walker,6
Hjalmar Ekdal,9
Maxime Estève,0
Quilindschy Hartman,0
Axel Tuanzebe,0
Jaidon Anthony,1
Jacob Bruun Larsen,3
Josh Cullen,1
Josh Laurent,5
Loum Tchaouna,0
Lyle Foster,0
Martin Dúbravka,11
Lesley Ugochukwu,3
Florentino Ibrain Morris Luís,1
Đorđe Petrović,-1
Marcos Senesi Barón,2
Adrien Truffert,1
Justin Kluivert,0
Antoine Semenyo,9
Marcus Tavernier,1
Tyler Adams,0
David Brooks,1
Alex Scott,5
Francisco Evanilson de Lima Barbosa,1
Bafodé Diakité,0
Álex Jiménez Sánchez,3
Dango Ouattara,0
Caoimhín Kelleher,4
Nathan Collins,4
Keane Lewis-Potter,2
Michael Kayode,3
Sepp van den Berg,0
Kevin Schade,20
Mikkel Damsgaard,4
Jordan Henderson,1
Gustavo Nunes Fernandes Gomes,0
Yehor Yarmoliuk,5
Igor Thiago Nascimento Rodrigues,5
Bart Verbruggen,1
Maxim De Cuyper,1
Lewis Dunk,0
Ferdi Kadıoğlu,1
Jan Paul van Hecke,3
Mitoma Kaoru,0
Georginio Rutter,0
Yankuba Minteh,1
Yasin Ayari,5
Carlos Baleba,0
Diego Gómez Amarilla,9
Mats Wieffer,1
Danny Welbeck,1
Robert Lynch Sánchez,3
Marc Cucurella Saseta,2
Reece James,6
Trevoh Chalobah,0
Malo Gusto,1
Pedro Lomba Neto,2
Enzo Fernández,1
Moisés Caicedo Corozo,3
João Pedro Junqueira de Jesus,8
Dean Henderson,3
Daniel Muñoz Mejía,0
Maxence Lacroix,3
Tyrick Mitchell,2
Marc Guéhi,2
Chris Richards,0
Ismaïla Sarr,0
Will Hughes,1
Daichi Kamada,0
Adam Wharton,2
Jean-Philippe Mateta,2
Yéremy Pino Santos,4
Kiernan Dewsbury-Hall,0
Jordan Pickford,6
James Tarkowski,8
Vitalii Mykolenko,6
Jake O'Brien,6
Michael Keane,10
Iliman Ndiaye,0
Idrissa Gana Gueye,0
James Garner,5
Norberto Bercique Gomes Betuncal,2
Jack Grealish,0
Bernd Leno,6
Joachim Andersen,5
Calvin Bassey,0
Timothy Castagne,1
Kenny Tete,6
Alex Iwobi,0
Ryan Sessegnon,0
Harry Wilson,5
Sander Berge,3
Saša Lukić,3
Josh King,0
Raúl Jiménez Rodríguez,9
Karl Darlow,0
Jayden Bogle,2
Pascal Struijk,2
Gabriel Gudmundsson,2
Joe Rodon,1
Brenden Aaronson,5
Ethan Ampadu,4
Sean Longstaff,0
Anton Stach,4
Lucas Estella Perri,2
Dominic Calvert-Lewin,8
Noah Okafor,2
Alisson Becker,3
Giorgi Mamardashvili,0
Milos Kerkez,2
Virgil van Dijk,2
Ibrahima Konaté,2
Conor Bradley,1
Mohamed Salah,0
Florian Wirtz,10
Cody Gakpo,1
Alexis Mac Allister,2
Dominik Szoboszlai,0
Ryan Gravenberch,11
Hugo Ekitiké,5
Joško Gvardiol,8
Matheus Nunes,4
Rúben dos Santos Gato Alves Dias,3
Nico O'Reilly,1
Phil Foden,2
Bernardo Mota Veiga de Carvalho e Silva,2
Jérémy Doku,0
Nico González Iglesias,4
Oscar Bobb,0
Tijjani Reijnders,8
Erling Haaland,2
Gianluigi Donnarumma,2
Bryan Mbeumo,0
Altay Bayındır,0
Matthijs de Ligt,0
Diogo Dalot Teixeira,13
Patrick Dorgu,17
Luke Shaw,5
Leny Yoro,1
Bruno Borges Fernandes,0
Matheus Santos Carneiro da Cunha,2
Amad Diallo,0
Carlos Henrique Casimiro,3
Benjamin Sesko,1
Senne Lammens,9
Nick Pope,0
Fabian Schär,2
Sven Botman,0
Dan Burn,0
Tino Livramento,0
Kieran Trippier,0
Anthony Gordon,2
Anthony Elanga,0
Harvey Barnes,1
Bruno Guimarães Rodriguez Moura,2
Jacob Murphy,2
Joelinton Cássio Apolinário de Lira,1
Sandro Tonali,1
Malick Thiaw,2
Nick Woltemade,2
Matz Sels,0
Nikola Milenković,3
Murillo Costa dos Santos,3
Neco Williams,1
Felipe Rodrigues da Silva,0
Morgan Gibbs-White,2
Callum Hudson-Odoi,2
Elliot Anderson,3
Ibrahim Sangaré,0
Chris Wood,0
Dan Ndoye,0
Nicolò Savona,1
Daniel Ballard,0
Trai Hume,1
Reinildo Mandava,0
Enzo Le Fée,2
Noah Sadiki,0
Chemsdine Talbi,0
Wilson Isidor,1
Granit Xhaka,6
Robin Roefs,3
Omar Alderete,4
Nordi Mukiele,4
Guglielmo Vicario,7
Pedro Porro Sauceda,6
Cristian Romero,0
Djed Spence,7
Micky van de Ven,11
Brennan Johnson,1
Mohammed Kudus,3
Rodrigo Bentancur,5
Lucas Bergvall,3
Pape Matar Sarr,0
Richarlison de Andrade,5
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,1
Xavi Simons,0
Alphonse Areola,3
El Hadji Malick Diouf,0
Maximilian Kilman,4
Konstantinos Mavropanos,0
Jean-Clair Todibo,1
Aaron Wan-Bissaka,0
Lucas Tolentino Coelho de Lima,3
Tomáš Souček,1
James Ward-Prowse,0
Crysencio Summerville,1
Jarrod Bowen,2
Kyle Walker-Peters,2
Mateus Gonçalo Espanha Fernandes,2
Sam Johnstone,0
Emmanuel Agbadou,0
Hugo Bueno López,1
Santiago Ignacio Bueno,7
Toti Gomes,0
André Trindade da Costa Neto,3
Jean-Ricner Bellegarde,0
Marshall Munetsi,0
Jørgen Strand Larsen,1
Jhon Arias,1
Jackson Tchatchoua,1
Ladislav Krejcí,1
