full_name,gw_points,gw_minutes
David Raya Martín,3,90
Gabriel dos Santos Magalhães,9,90
William Saliba,10,90
Riccardo Calafiori,0,0
Jurriën Timber,8,90
Benjamin White,0,0
Bukayo Saka,2,90
Leandro Trossard,1,55
Declan Rice,5,75
Martín Zubimendi Ibáñez,2,90
Eberechi Eze,2,90
Viktor Gyökeres,2,75
Piero Hincapié,0,90
Emiliano Martínez Romero,1,90
Marco Bizot,0,0
Matty Cash,0,90
Lucas Digne,2,69
Ezri Konsa Ngoyo,1,90
Tyrone Mings,0,0
Pau Torres,1,90
Morgan Rogers,2,90
Youri Tielemans,0,0
John McGinn,0,0
Boubacar Kamara,0,0
Amadou Onana,2,90
Ollie Watkins,2,85
Kyle Walker,0,0
Hjalmar Ekdal,0,0
Maxime Estève,0,90
Quilindschy Hartman,0,0
Bashir Humphreys,1,90
Lucas Pires Silva,0,90
Axel Tuanzebe,0,0
Jaidon Anthony,10,90
Josh Cullen,0,0
Josh Laurent,1,45
Lyle Foster,0,45
Martin Dúbravka,0,90
James Ward-Prowse,2,74
Lesley Ugochukwu,1,45
Florentino Ibrain Morris Luís,1,15
Đorđe Petrović,3,90
Marcos Senesi Barón,4,90
Adrien Truffert,4,90
James Hill,2,90
Marcus Tavernier,7,80
Tyler Adams,1,61
Lewis Cook,0,0
Alex Scott,3,90
Francisco Evanilson de Lima Barbosa,6,39
Bafodé Diakité,0,0
Álex Jiménez Sánchez,2,90
Dango Ouattara,5,71
Caoimhín Kelleher,0,0
Hákon Rafn Valdimarsson,1,90
Nathan Collins,0,0
Kristoffer Ajer,1,90
Michael Kayode,-1,90
Ethan Pinnock,0,0
Sepp van den Berg,6,90
Kevin Schade,7,71
Mikkel Damsgaard,18,90
Jordan Henderson,1,18
Vitaly Janelt,0,0
Gustavo Nunes Fernandes Gomes,0,0
Yehor Yarmoliuk,1,71
Igor Thiago Nascimento Rodrigues,6,90
Bart Verbruggen,3,90
Lewis Dunk,1,90
Ferdi Kadıoğlu,2,90
Jan Paul van Hecke,4,90
Mitoma Kaoru,1,90
Georginio Rutter,0,0
Yankuba Minteh,0,0
Jack Hinshelwood,5,90
Matt O'Riley,0,0
Yasin Ayari,0,0
Diego Gómez Amarilla,9,85
Mats Wieffer,1,70
Danny Welbeck,9,90
Pascal Groß,5,90
Robert Lynch Sánchez,2,90
Filip Jörgensen,0,0
Marc Cucurella Saseta,0,0
Reece James,6,90
Trevoh Chalobah,1,90
Malo Gusto,1,15
Benoît Badiashile Mukinayi,0,0
Wesley Fofana,0,0
Tosin Adarabioyo,1,1
Cole Palmer,1,85
Pedro Lomba Neto,-1,69
Enzo Fernández,1,85
Moisés Caicedo Corozo,4,90
João Pedro Junqueira de Jesus,2,90
Alejandro Garnacho Ferreyra,1,4
Dean Henderson,3,90
Daniel Muñoz Mejía,1,90
Maxence Lacroix,3,55
Tyrick Mitchell,1,90
Chris Richards,1,90
Nathaniel Clyne,0,0
Ismaïla Sarr,2,90
Daichi Kamada,1,84
Adam Wharton,2,67
Jean-Philippe Mateta,0,0
Jørgen Strand Larsen,1,57
Yéremy Pino Santos,1,5
Kiernan Dewsbury-Hall,6,88
Jordan Pickford,2,90
Jarrad Branthwaite,9,90
James Tarkowski,3,90
Vitalii Mykolenko,3,90
Jake O'Brien,1,90
Michael Keane,1,1
Iliman Ndiaye,4,90
Idrissa Gana Gueye,2,90
James Garner,6,90
Thierno Barry,6,16
Jack Grealish,0,0
Bernd Leno,2,90
Antonee Robinson,0,0
Joachim Andersen,0,0
Calvin Bassey,1,90
Issa Diop,1,90
Jorge Cuenca Barreno,1,1
Kenny Tete,2,90
Alex Iwobi,10,89
Ryan Sessegnon,4,90
Harry Wilson,12,71
Sander Berge,2,90
Saša Lukić,0,0
Raúl Jiménez Rodríguez,2,72
Karl Darlow,3,90
Jayden Bogle,2,75
Pascal Struijk,2,90
Jaka Bijol,1,3
Gabriel Gudmundsson,2,90
Joe Rodon,2,86
Brenden Aaronson,2,64
Ethan Ampadu,4,90
Ilia Gruev,2,74
Sean Longstaff,0,0
Anton Stach,2,90
Lucas Estella Perri,0,0
Dominic Calvert-Lewin,2,90
Noah Okafor,0,0
Alisson Becker,2,90
Giorgi Mamardashvili,0,0
Milos Kerkez,1,90
Virgil van Dijk,7,90
Ibrahima Konaté,1,90
Conor Bradley,0,0
Mohamed Salah,2,90
Florian Wirtz,0,0
Cody Gakpo,6,90
Alexis Mac Allister,9,90
Dominik Szoboszlai,4,90
Ryan Gravenberch,5,85
Hugo Ekitiké,15,75
Antoine Semenyo,8,90
James Trafford,0,0
Marc Guéhi,6,90
Rayan Aït-Nouri,11,90
Joško Gvardiol,0,0
Abdukodir Khusanov,0,0
Matheus Nunes,8,90
Rúben dos Santos Gato Alves Dias,9,90
Nico O'Reilly,6,69
Phil Foden,0,0
Bernardo Mota Veiga de Carvalho e Silva,3,90
Jérémy Doku,0,0
Rodrigo 'Rodri' Hernandez Cascante,3,90
Nico González Iglesias,0,0
Tijjani Reijnders,1,20
Erling Haaland,0,0
Gianluigi Donnarumma,5,90
Max Alleyne,0,0
Bryan Mbeumo,2,85
Altay Bayındır,0,0
Matthijs de Ligt,0,0
Lisandro Martínez,0,0
Diogo Dalot Teixeira,1,90
Patrick Dorgu,0,0
Harry Maguire,2,84
Luke Shaw,1,23
Bruno Borges Fernandes,13,90
Matheus Santos Carneiro da Cunha,5,90
Amad Diallo,1,15
Carlos Henrique Casimiro,4,90
Senne Lammens,2,90
Nick Pope,1,90
Lewis Hall,1,90
Fabian Schär,0,0
Sven Botman,0,0
Dan Burn,0,90
Tino Livramento,0,0
Kieran Trippier,1,74
Anthony Gordon,2,85
Bruno Guimarães Rodriguez Moura,0,0
Joelinton Cássio Apolinário de Lira,5,90
Sandro Tonali,6,90
Lewis Miley,0,0
Aaron Ramsdale,0,0
Malick Thiaw,1,90
Nick Woltemade,1,55
Oleksandr Zinchenko,0,0
Stefan Ortega Moreno,0,0
Matz Sels,2,90
Nikola Milenković,1,90
Murillo Costa dos Santos,1,90
Ola Aina,1,81
Neco Williams,0,55
Jair Paula da Cunha Filho,1,34
Felipe Rodrigues da Silva,0,0
Zach Abbott,0,0
Morgan Gibbs-White,9,90
Callum Hudson-Odoi,2,73
Elliot Anderson,1,90
Ibrahim Sangaré,2,90
Chris Wood,0,0
Igor Jesus Maciel da Cruz,5,82
Dan Ndoye,1,8
John Victor Maciel Furtado,0,0
Nicolò Savona,0,0
Daniel Ballard,4,90
Trai Hume,2,90
Reinildo Mandava,0,0
Jenson Seelt,0,0
Habib Diarra,5,90
Enzo Le Fée,2,90
Noah Sadiki,1,90
Chemsdine Talbi,2,68
Granit Xhaka,2,75
Robin Roefs,2,90
Omar Alderete,4,90
Nordi Mukiele,0,0
Brian Brobbey,0,0
Bertrand Traoré,1,21
Guglielmo Vicario,1,90
Pedro Porro Sauceda,0,90
Cristian Romero,0,0
Djed Spence,0,0
Destiny Udogie,0,0
Micky van de Ven,0,90
Mohammed Kudus,0,0
Rodrigo Bentancur,0,0
Yves Bissouma,2,79
Archie Gray,5,90
Richarlison de Andrade,5,32
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,2,90
Xavi Simons,1,57
Randal Kolo Muani,1,57
Conor Gallagher,1,57
Alphonse Areola,0,0
El Hadji Malick Diouf,3,89
Maximilian Kilman,0,0
Konstantinos Mavropanos,2,90
Nayef Aguerd,0,0
Ollie Scarles,0,0
Jean-Clair Todibo,0,0
Aaron Wan-Bissaka,0,90
Lucas Tolentino Coelho de Lima,0,0
Crysencio Summerville,1,90
Freddie Potts,0,0
Jarrod Bowen,7,90
Mads Hermansen,0,90
Mateus Gonçalo Espanha Fernandes,2,90
Valentín Castellanos,7,90
Axel Disasi,-2,90
Sam Johnstone,0,0
José Malheiro de Sá,8,90
Emmanuel Agbadou,0,0
Matt Doherty,0,0
Hugo Bueno López,6,90
Yerson Mosquera Valdelamar,9,90
Santiago Ignacio Bueno,6,90
Toti Gomes,8,90
Ki-Jana Hoever,0,0
Hwang Hee-chan,0,0
André Trindade da Costa Neto,5,88
Marshall Munetsi,0,0
Jackson Tchatchoua,6,90
Ladislav Krejcí,0,0
Mateus Mané,2,90
Adam Armstrong,4,90
