full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,clearances_blocks_interceptions_per_90,tackles_per_90,team_xg_per_90,team_xg_against_per_90,opponent_xg_per_90,opponent_xg_against_per_90,opponent_league_position,gameweek,is_at_home,team_league_position
David Raya Martín,Arsenal,Goalkeeper,60,100.0,0.0,0.01,0.04,0.0,0.89,0.04,2.02,0.77,2.1,1.48,5,28.0,1,1
Gabriel dos Santos Magalhães,Arsenal,Defender,71,95.81,0.15,0.1,0.09,0.0,7.6,1.23,2.02,0.77,2.1,1.48,5,28.0,1,1
William Saliba,Arsenal,Defender,61,91.26,0.05,0.02,0.05,0.0,5.08,1.19,2.02,0.77,2.1,1.48,5,28.0,1,1
Riccardo Calafiori,Arsenal,Defender,56,77.28,0.17,0.02,0.32,0.0,4.08,2.0,2.02,0.77,2.1,1.48,5,28.0,1,1
Jurriën Timber,Arsenal,Defender,64,92.92,0.13,0.1,0.2,0.0,2.74,2.34,2.02,0.77,2.1,1.48,5,28.0,1,1
Benjamin White,Arsenal,Defender,51,64.44,0.06,0.25,0.0,0.0,5.06,2.86,2.02,0.77,2.1,1.48,5,28.0,1,1
Bukayo Saka,Arsenal,Midfielder,98,80.56,0.41,0.31,0.05,0.0,0.99,1.67,2.02,0.77,2.1,1.48,5,28.0,1,1
Leandro Trossard,Arsenal,Midfielder,67,75.0,0.31,0.18,0.06,0.0,1.19,1.36,2.02,0.77,2.1,1.48,5,28.0,1,1
Declan Rice,Arsenal,Midfielder,76,96.01,0.14,0.24,0.08,0.0,3.75,1.94,2.02,0.77,2.1,1.48,5,28.0,1,1
Martín Zubimendi Ibáñez,Arsenal,Midfielder,53,94.64,0.1,0.03,0.15,0.0,3.71,1.87,2.02,0.77,2.1,1.48,5,28.0,1,1
Kai Havertz,Arsenal,Forward,73,60.37,0.1,0.1,0.0,0.0,2.88,1.15,2.02,0.77,2.1,1.48,5,28.0,1,1
Eberechi Eze,Arsenal,Midfielder,72,60.58,0.25,0.18,0.07,0.0,1.25,0.96,2.02,0.77,2.1,1.48,5,28.0,1,1
Viktor Gyökeres,Arsenal,Forward,88,75.26,0.47,0.1,0.2,0.0,0.94,0.31,2.02,0.77,2.1,1.48,5,28.0,1,1
