full_name,gw_points
David Raya Martín,7
Gabriel dos Santos Magalhães,0
William Saliba,6
Riccardo Calafiori,6
Jurriën Timber,6
Bukayo Saka,3
Leandro Trossard,3
Declan Rice,11
Mikel Merino Zazón,1
Martín Zubimendi Ibáñez,3
Eberechi Eze,0
Viktor Gyökeres,5
Emiliano Martínez Romero,3
Matty Cash,2
Lucas Digne,1
Ezri Konsa Ngoyo,2
Tyrone Mings,0
Pau Torres,0
Morgan Rogers,15
Emiliano Buendía Stati,1
John McGinn,5
Boubacar Kamara,2
Amadou Onana,4
Ollie Watkins,5
Evann Guessand,1
Kyle Walker,2
Hjalmar Ekdal,4
Maxime Estève,0
Quilindschy Hartman,0
Axel Tuanzebe,0
Jaidon Anthony,2
Jacob Bruun Larsen,3
Josh Cullen,2
Josh Laurent,4
Loum Tchaouna,1
Lyle Foster,0
Martin Dúbravka,2
Lesley Ugochukwu,2
Florentino Ibrain Morris Luís,0
Đorđe Petrović,2
Marcos Senesi Barón,4
Adrien Truffert,5
Justin Kluivert,3
Antoine Semenyo,10
Marcus Tavernier,2
Tyler Adams,0
David Brooks,2
Alex Scott,1
Francisco Evanilson de Lima Barbosa,2
Bafodé Diakité,2
Álex Jiménez Sánchez,2
Dango Ouattara,0
Caoimhín Kelleher,13
Nathan Collins,8
Keane Lewis-Potter,21
Michael Kayode,5
Sepp van den Berg,7
Kevin Schade,3
Mikkel Damsgaard,4
Jordan Henderson,0
Gustavo Nunes Fernandes Gomes,0
Yehor Yarmoliuk,5
Igor Thiago Nascimento Rodrigues,2
Bart Verbruggen,11
Maxim De Cuyper,6
Lewis Dunk,0
Ferdi Kadıoğlu,6
Jan Paul van Hecke,0
Mitoma Kaoru,1
Georginio Rutter,3
Yankuba Minteh,3
Yasin Ayari,3
Carlos Baleba,0
Diego Gómez Amarilla,0
Mats Wieffer,1
Danny Welbeck,0
Robert Lynch Sánchez,4
Marc Cucurella Saseta,1
Reece James,7
Trevoh Chalobah,3
Malo Gusto,-1
Pedro Lomba Neto,2
Enzo Fernández,1
Moisés Caicedo Corozo,3
João Pedro Junqueira de Jesus,6
Dean Henderson,0
Daniel Muñoz Mejía,0
Maxence Lacroix,1
Tyrick Mitchell,0
Marc Guéhi,1
Chris Richards,2
Ismaïla Sarr,0
Will Hughes,1
Daichi Kamada,0
Adam Wharton,3
Jean-Philippe Mateta,2
Yéremy Pino Santos,2
Kiernan Dewsbury-Hall,0
Jordan Pickford,2
James Tarkowski,3
Vitalii Mykolenko,1
Jake O'Brien,2
Michael Keane,4
Iliman Ndiaye,0
Idrissa Gana Gueye,0
James Garner,4
Norberto Bercique Gomes Betuncal,1
Jack Grealish,2
Bernd Leno,6
Joachim Andersen,7
Calvin Bassey,0
Timothy Castagne,0
Kenny Tete,6
Alex Iwobi,0
Ryan Sessegnon,0
Harry Wilson,2
Sander Berge,2
Saša Lukić,5
Josh King,1
Raúl Jiménez Rodríguez,5
Karl Darlow,0
Jayden Bogle,6
Pascal Struijk,4
Gabriel Gudmundsson,2
Joe Rodon,2
Brenden Aaronson,6
Ethan Ampadu,12
Sean Longstaff,0
Anton Stach,8
Lucas Estella Perri,1
Dominic Calvert-Lewin,13
Noah Okafor,3
Alisson Becker,3
Giorgi Mamardashvili,0
Milos Kerkez,2
Virgil van Dijk,2
Ibrahima Konaté,1
Conor Bradley,1
Mohamed Salah,0
Florian Wirtz,8
Cody Gakpo,0
Alexis Mac Allister,1
Dominik Szoboszlai,1
Ryan Gravenberch,2
Hugo Ekitiké,9
Joško Gvardiol,6
Matheus Nunes,8
Rúben dos Santos Gato Alves Dias,6
Nico O'Reilly,6
Phil Foden,3
Bernardo Mota Veiga de Carvalho e Silva,3
Jérémy Doku,0
Nico González Iglesias,2
Oscar Bobb,0
Tijjani Reijnders,8
Erling Haaland,16
Gianluigi Donnarumma,7
Bryan Mbeumo,0
Altay Bayındır,0
Matthijs de Ligt,0
Diogo Dalot Teixeira,0
Patrick Dorgu,5
Luke Shaw,3
Leny Yoro,1
Bruno Borges Fernandes,1
Matheus Santos Carneiro da Cunha,9
Amad Diallo,0
Carlos Henrique Casimiro,0
Benjamin Sesko,2
Senne Lammens,1
Nick Pope,0
Fabian Schär,0
Sven Botman,0
Dan Burn,0
Tino Livramento,0
Kieran Trippier,0
Anthony Gordon,10
Anthony Elanga,1
Harvey Barnes,1
Bruno Guimarães Rodriguez Moura,2
Jacob Murphy,2
Joelinton Cássio Apolinário de Lira,0
Sandro Tonali,4
Malick Thiaw,1
Nick Woltemade,13
Matz Sels,0
Nikola Milenković,1
Murillo Costa dos Santos,1
Neco Williams,2
Felipe Rodrigues da Silva,0
Morgan Gibbs-White,2
Callum Hudson-Odoi,2
Elliot Anderson,4
Ibrahim Sangaré,0
Chris Wood,0
Dan Ndoye,0
Nicolò Savona,2
Daniel Ballard,9
Trai Hume,10
Reinildo Mandava,0
Enzo Le Fée,2
Noah Sadiki,0
Chemsdine Talbi,0
Wilson Isidor,1
Granit Xhaka,3
Robin Roefs,7
Omar Alderete,6
Nordi Mukiele,6
Guglielmo Vicario,1
Pedro Porro Sauceda,1
Cristian Romero,0
Djed Spence,1
Micky van de Ven,0
Brennan Johnson,1
Mohammed Kudus,1
Rodrigo Bentancur,3
Lucas Bergvall,2
Pape Matar Sarr,0
Richarlison de Andrade,4
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,4
Xavi Simons,-2
Alphonse Areola,2
El Hadji Malick Diouf,0
Maximilian Kilman,1
Konstantinos Mavropanos,1
Jean-Clair Todibo,1
Aaron Wan-Bissaka,0
Lucas Tolentino Coelho de Lima,2
Tomáš Souček,1
James Ward-Prowse,0
Crysencio Summerville,2
Jarrod Bowen,1
Kyle Walker-Peters,3
Mateus Gonçalo Espanha Fernandes,2
Sam Johnstone,0
Emmanuel Agbadou,0
Hugo Bueno López,0
Santiago Ignacio Bueno,3
Toti Gomes,0
André Trindade da Costa Neto,2
Jean-Ricner Bellegarde,0
Marshall Munetsi,0
Jørgen Strand Larsen,0
Jhon Arias,1
Jackson Tchatchoua,1
Ladislav Krejcí,1
