full_name,gw_points,gw_minutes
David Raya Martín,6,90
Gabriel dos Santos Magalhães,8,90
William Saliba,6,90
Riccardo Calafiori,1,15
Jurriën Timber,5,90
Benjamin White,0,0
Bukayo Saka,0,0
Martin Ødegaard,4,29
Leandro Trossard,3,80
Declan Rice,3,90
Martín Zubimendi Ibáñez,10,90
Kai Havertz,2,60
Eberechi Eze,1,9
Viktor Gyökeres,7,75
Piero Hincapié,6,74
Emiliano Martínez Romero,2,90
Marco Bizot,0,0
Matty Cash,2,90
Lucas Digne,0,0
Ezri Konsa Ngoyo,2,90
Tyrone Mings,0,0
Pau Torres,2,90
Morgan Rogers,2,90
Youri Tielemans,0,0
John McGinn,0,0
Boubacar Kamara,0,0
Amadou Onana,0,0
Ollie Watkins,0,0
Kyle Walker,0,90
Hjalmar Ekdal,0,0
Maxime Estève,3,90
Quilindschy Hartman,0,0
Bashir Humphreys,3,90
Lucas Pires Silva,1,90
Axel Tuanzebe,-2,45
Jaidon Anthony,1,79
Josh Cullen,0,0
Lyle Foster,2,62
Martin Dúbravka,1,90
James Ward-Prowse,0,0
Lesley Ugochukwu,1,90
Florentino Ibrain Morris Luís,2,62
Đorđe Petrović,10,90
Marcos Senesi Barón,8,90
Adrien Truffert,6,90
James Hill,7,90
Marcus Tavernier,0,0
Tyler Adams,0,0
Lewis Cook,3,90
Alex Scott,13,90
Francisco Evanilson de Lima Barbosa,2,84
Bafodé Diakité,1,1
Álex Jiménez Sánchez,5,85
Dango Ouattara,8,59
Caoimhín Kelleher,10,90
Nathan Collins,1,30
Kristoffer Ajer,7,90
Michael Kayode,5,90
Ethan Pinnock,0,0
Sepp van den Berg,8,90
Kevin Schade,-2,41
Mikkel Damsgaard,0,0
Jordan Henderson,1,59
Vitaly Janelt,4,90
Gustavo Nunes Fernandes Gomes,0,0
Yehor Yarmoliuk,1,30
Igor Thiago Nascimento Rodrigues,2,90
Bart Verbruggen,3,90
Lewis Dunk,4,90
Ferdi Kadıoğlu,2,90
Jan Paul van Hecke,2,90
Mitoma Kaoru,2,90
Georginio Rutter,1,59
Yankuba Minteh,1,30
Matt O'Riley,0,0
Yasin Ayari,6,90
Carlos Baleba,4,90
Diego Gómez Amarilla,0,0
Mats Wieffer,0,0
Danny Welbeck,2,69
Pascal Groß,12,90
Robert Lynch Sánchez,2,90
Filip Jörgensen,0,0
Marc Cucurella Saseta,7,45
Reece James,1,9
Trevoh Chalobah,3,90
Malo Gusto,1,80
Benoît Badiashile Mukinayi,0,45
Wesley Fofana,4,45
Tosin Adarabioyo,0,0
Cole Palmer,2,90
Pedro Lomba Neto,2,64
Enzo Fernández,8,90
Moisés Caicedo Corozo,3,90
João Pedro Junqueira de Jesus,10,45
Alejandro Garnacho Ferreyra,1,45
Dean Henderson,2,90
Daniel Muñoz Mejía,2,90
Maxence Lacroix,2,90
Tyrick Mitchell,2,90
Chris Richards,1,90
Nathaniel Clyne,0,0
