full_name,gw_points
David Raya Martín,0
Gabriel dos Santos Magalhães,0
William Saliba,0
Riccardo Calafiori,0
Jurriën Timber,0
Bukayo Saka,0
Leandro Trossard,0
Declan Rice,0
Mikel Merino Zazón,0
Martín Zubimendi Ibáñez,0
Eberechi Eze,0
Viktor Gyökeres,0
Emiliano Martínez Romero,0
Matty Cash,0
Lucas Digne,0
Ezri Konsa Ngoyo,0
Tyrone Mings,0
Pau Torres,0
Morgan Rogers,0
Emiliano Buendía Stati,0
John McGinn,0
Boubacar Kamara,0
Amadou Onana,0
Ollie Watkins,0
Evann Guessand,0
Kyle Walker,0
Hjalmar Ekdal,0
Maxime Estève,0
Quilindschy Hartman,0
Axel Tuanzebe,0
Jaidon Anthony,0
Jacob Bruun Larsen,0
Josh Cullen,0
Josh Laurent,0
Loum Tchaouna,0
Lyle Foster,0
Martin Dúbravka,0
Lesley Ugochukwu,0
Florentino Ibrain Morris Luís,0
Đorđe Petrović,0
Marcos Senesi Barón,0
Adrien Truffert,0
Justin Kluivert,0
Antoine Semenyo,0
Marcus Tavernier,0
Tyler Adams,0
David Brooks,0
Alex Scott,0
Francisco Evanilson de Lima Barbosa,0
Bafodé Diakité,0
Álex Jiménez Sánchez,0
Dango Ouattara,0
Caoimhín Kelleher,0
Nathan Collins,0
Keane Lewis-Potter,0
Michael Kayode,0
Sepp van den Berg,0
Kevin Schade,0
Mikkel Damsgaard,0
Jordan Henderson,0
Gustavo Nunes Fernandes Gomes,0
Yehor Yarmoliuk,0
Igor Thiago Nascimento Rodrigues,0
Bart Verbruggen,0
Maxim De Cuyper,0
Lewis Dunk,0
Ferdi Kadıoğlu,0
Jan Paul van Hecke,0
Mitoma Kaoru,0
Georginio Rutter,0
Yankuba Minteh,0
Yasin Ayari,0
Carlos Baleba,0
Diego Gómez Amarilla,0
Mats Wieffer,0
Danny Welbeck,0
Robert Lynch Sánchez,0
Marc Cucurella Saseta,0
Reece James,0
Trevoh Chalobah,0
Malo Gusto,0
Pedro Lomba Neto,0
Enzo Fernández,0
Moisés Caicedo Corozo,0
João Pedro Junqueira de Jesus,0
Dean Henderson,0
Daniel Muñoz Mejía,0
Maxence Lacroix,0
Tyrick Mitchell,0
Marc Guéhi,0
Chris Richards,0
Ismaïla Sarr,0
Will Hughes,0
Daichi Kamada,0
Adam Wharton,0
Jean-Philippe Mateta,0
Brennan Johnson,0
Yéremy Pino Santos,0
Kiernan Dewsbury-Hall,0
Jordan Pickford,0
James Tarkowski,0
Vitalii Mykolenko,0
Jake O'Brien,0
Michael Keane,0
Iliman Ndiaye,0
Idrissa Gana Gueye,0
James Garner,0
Norberto Bercique Gomes Betuncal,0
Jack Grealish,0
Bernd Leno,0
Joachim Andersen,0
Calvin Bassey,0
Timothy Castagne,0
Kenny Tete,0
Alex Iwobi,0
Ryan Sessegnon,0
Harry Wilson,0
Sander Berge,0
Saša Lukić,0
Josh King,0
Raúl Jiménez Rodríguez,0
Karl Darlow,0
Jayden Bogle,0
Pascal Struijk,0
Gabriel Gudmundsson,0
Joe Rodon,0
Brenden Aaronson,0
Ethan Ampadu,0
Sean Longstaff,0
Anton Stach,0
Lucas Estella Perri,0
Dominic Calvert-Lewin,0
Noah Okafor,0
Alisson Becker,0
Giorgi Mamardashvili,0
Milos Kerkez,0
Virgil van Dijk,0
Ibrahima Konaté,0
Conor Bradley,0
Mohamed Salah,0
Florian Wirtz,0
Cody Gakpo,0
Alexis Mac Allister,0
Dominik Szoboszlai,0
Ryan Gravenberch,0
Hugo Ekitiké,0
Joško Gvardiol,0
Matheus Nunes,0
Rúben dos Santos Gato Alves Dias,0
Nico O'Reilly,0
Phil Foden,0
Bernardo Mota Veiga de Carvalho e Silva,0
Jérémy Doku,0
Nico González Iglesias,0
Oscar Bobb,0
Tijjani Reijnders,0
Erling Haaland,0
Gianluigi Donnarumma,0
Bryan Mbeumo,0
Altay Bayındır,0
Matthijs de Ligt,0
Diogo Dalot Teixeira,0
Patrick Dorgu,0
Luke Shaw,0
Leny Yoro,0
Bruno Borges Fernandes,0
Matheus Santos Carneiro da Cunha,0
Amad Diallo,0
Carlos Henrique Casimiro,0
Benjamin Sesko,0
Senne Lammens,0
Nick Pope,0
Fabian Schär,0
Sven Botman,0
Dan Burn,0
Tino Livramento,0
Kieran Trippier,0
Anthony Gordon,0
Anthony Elanga,0
Harvey Barnes,0
Bruno Guimarães Rodriguez Moura,0
Jacob Murphy,0
Joelinton Cássio Apolinário de Lira,0
Sandro Tonali,0
Malick Thiaw,0
Nick Woltemade,0
Matz Sels,3
Nikola Milenković,2
Murillo Costa dos Santos,2
Neco Williams,4
Felipe Rodrigues da Silva,1
Morgan Gibbs-White,9
Callum Hudson-Odoi,2
Elliot Anderson,7
Ibrahim Sangaré,0
Chris Wood,0
Dan Ndoye,0
Nicolò Savona,0
Daniel Ballard,0
Trai Hume,0
Reinildo Mandava,0
Enzo Le Fée,0
Noah Sadiki,0
Chemsdine Talbi,0
Wilson Isidor,0
Granit Xhaka,0
Robin Roefs,0
Omar Alderete,0
Nordi Mukiele,0
