full_name,gw_points,gw_minutes
David Raya Martín,6,90
Gabriel dos Santos Magalhães,6,90
William Saliba,6,90
Riccardo Calafiori,6,90
Jurriën Timber,0,0
Benjamin White,6,82
Bukayo Saka,11,45
Martin Ødegaard,0,0
Leandro Trossard,7,90
Declan Rice,5,63
Martín Zubimendi Ibáñez,1,26
Eberechi Eze,3,77
Viktor Gyökeres,16,63
Piero Hincapié,0,0
Emiliano Martínez Romero,2,90
Marco Bizot,0,0
Matty Cash,5,90
Lucas Digne,0,0
Ezri Konsa Ngoyo,0,0
Tyrone Mings,1,90
Pau Torres,0,0
Morgan Rogers,1,90
Youri Tielemans,2,90
John McGinn,0,0
Boubacar Kamara,0,0
Amadou Onana,0,0
Ollie Watkins,1,30
Kyle Walker,1,90
Hjalmar Ekdal,3,90
Maxime Estève,3,90
Quilindschy Hartman,1,64
Bashir Humphreys,0,75
Lucas Pires Silva,1,25
Axel Tuanzebe,0,0
Jaidon Anthony,5,90
Josh Cullen,0,0
Josh Laurent,1,53
Zian Flemming,2,75
Lyle Foster,0,0
Martin Dúbravka,2,90
James Ward-Prowse,2,64
Lesley Ugochukwu,0,0
Florentino Ibrain Morris Luís,1,25
Đorđe Petrović,6,90
Marcos Senesi Barón,14,90
Adrien Truffert,7,90
James Hill,10,90
Marcus Tavernier,3,85
Tyler Adams,3,68
Lewis Cook,0,0
Alex Scott,3,90
Francisco Evanilson de Lima Barbosa,5,79
Bafodé Diakité,0,0
Álex Jiménez Sánchez,6,90
Dango Ouattara,6,89
Caoimhín Kelleher,8,90
Hákon Rafn Valdimarsson,0,0
Nathan Collins,6,90
Kristoffer Ajer,1,10
Michael Kayode,5,90
Ethan Pinnock,0,0
Sepp van den Berg,6,90
Kevin Schade,3,79
Mikkel Damsgaard,11,90
Jordan Henderson,0,0
Vitaly Janelt,0,0
Mathias Jensen,3,90
Gustavo Nunes Fernandes Gomes,0,0
Yehor Yarmoliuk,3,90
Igor Thiago Nascimento Rodrigues,6,90
Bart Verbruggen,2,90
Olivier Boscagli,1,90
Lewis Dunk,1,2
Ferdi Kadıoğlu,1,90
Jan Paul van Hecke,2,90
Mitoma Kaoru,1,90
Georginio Rutter,1,10
Yankuba Minteh,2,90
Jack Hinshelwood,7,87
Yasin Ayari,0,0
Diego Gómez Amarilla,0,0
Mats Wieffer,1,17
Danny Welbeck,5,80
Pascal Groß,2,90
Robert Lynch Sánchez,1,66
Filip Jörgensen,1,24
Marc Cucurella Saseta,4,90
Reece James,0,0
Trevoh Chalobah,1,90
Malo Gusto,0,90
Benoît Badiashile Mukinayi,0,0
Wesley Fofana,0,0
Cole Palmer,0,90
Pedro Lomba Neto,0,0
Enzo Fernández,2,90
Moisés Caicedo Corozo,3,90
João Pedro Junqueira de Jesus,8,90
Alejandro Garnacho Ferreyra,0,0
Dean Henderson,2,90
Walter Benítez,0,0
Daniel Muñoz Mejía,0,45
Maxence Lacroix,2,90
Tyrick Mitchell,1,45
Chris Richards,1,14
Nathaniel Clyne,0,0
Ismaïla Sarr,1,45
Daichi Kamada,1,45
Jefferson Lerma Solís,0,90
Adam Wharton,1,45
Jean-Philippe Mateta,1,25
Jørgen Strand Larsen,2,64
Yéremy Pino Santos,1,45
Jaydee Canvot,0,90
Kiernan Dewsbury-Hall,2,90
Jordan Pickford,1,90
Jarrad Branthwaite,0,0
James Tarkowski,0,90
Vitalii Mykolenko,1,90
Jake O'Brien,6,90
Michael Keane,2,90
Iliman Ndiaye,2,90
Dwight McNeil,0,0
Idrissa Gana Gueye,0,0
James Garner,5,90
Jack Grealish,0,0
Bernd Leno,3,90
Antonee Robinson,1,90
Joachim Andersen,3,90
Calvin Bassey,1,90
Timothy Castagne,1,90
Issa Diop,0,0
